episode_index,task,source_kind,n_valid,ood_maha,agree_ridge_mlp,agree_multi_side,amp_dx,heldout,r2_dx_ridge_multi,r2_dx_ridge_side,r2_xyz_ridge_multi,score,proxy,rank_in_task
872,banana in black bowl,video_2cam,251,5.4892,0.8452,0.7943,0.0066,False,,,,0.8452,agree_ridge_mlp,1
853,banana in black bowl,video_2cam,206,4.7931,0.7966,0.7593,0.0068,False,,,,0.7966,agree_ridge_mlp,2
850,banana in black bowl,video_2cam,225,4.6583,0.7908,0.7476,0.0057,False,,,,0.7908,agree_ridge_mlp,3
876,banana in black bowl,video_2cam,204,4.7899,0.7789,0.8265,0.0075,False,,,,0.7789,agree_ridge_mlp,4
832,banana in black bowl,video_2cam,202,4.6021,0.7758,0.7935,0.0061,False,,,,0.7758,agree_ridge_mlp,5
868,banana in black bowl,video_2cam,225,5.2816,0.7672,0.7782,0.0076,False,,,,0.7672,agree_ridge_mlp,6
838,banana in black bowl,video_2cam,252,5.2057,0.7651,0.7506,0.0057,False,,,,0.7651,agree_ridge_mlp,7
841,banana in black bowl,video_2cam,241,4.6626,0.7610,0.7173,0.0070,False,,,,0.7610,agree_ridge_mlp,8
864,banana in black bowl,video_2cam,199,4.5323,0.7565,0.6905,0.0066,False,,,,0.7565,agree_ridge_mlp,9
880,banana in black bowl,video_2cam,203,4.5783,0.7517,0.6097,0.0049,False,,,,0.7517,agree_ridge_mlp,10
865,banana in black bowl,video_2cam,203,4.6679,0.7495,0.6072,0.0064,False,,,,0.7495,agree_ridge_mlp,11
869,banana in black bowl,video_2cam,211,4.5138,0.7493,0.7212,0.0066,False,,,,0.7493,agree_ridge_mlp,12
837,banana in black bowl,video_2cam,231,4.9935,0.7481,0.7667,0.0056,False,,,,0.7481,agree_ridge_mlp,13
835,banana in black bowl,video_2cam,233,4.8598,0.7434,0.8187,0.0080,False,,,,0.7434,agree_ridge_mlp,14
833,banana in black bowl,video_2cam,274,5.1288,0.7342,0.7236,0.0062,False,,,,0.7342,agree_ridge_mlp,15
840,banana in black bowl,video_2cam,224,5.0012,0.7255,0.7393,0.0068,False,,,,0.7255,agree_ridge_mlp,16
842,banana in black bowl,video_2cam,240,4.8356,0.7220,0.6849,0.0070,False,,,,0.7220,agree_ridge_mlp,17
849,banana in black bowl,video_2cam,215,4.7209,0.7216,0.7913,0.0061,False,,,,0.7216,agree_ridge_mlp,18
845,banana in black bowl,video_2cam,245,5.0408,0.7192,0.7349,0.0054,False,,,,0.7192,agree_ridge_mlp,19
847,banana in black bowl,video_2cam,230,4.8452,0.7140,0.8299,0.0061,False,,,,0.7140,agree_ridge_mlp,20
860,banana in black bowl,video_2cam,232,5.0676,0.7122,0.7640,0.0069,False,,,,0.7122,agree_ridge_mlp,21
844,banana in black bowl,video_2cam,224,4.9606,0.7120,0.7748,0.0072,False,,,,0.7120,agree_ridge_mlp,22
831,banana in black bowl,video_2cam,222,5.3272,0.7098,0.6697,0.0064,False,,,,0.7098,agree_ridge_mlp,23
861,banana in black bowl,video_2cam,226,5.2259,0.7079,0.7463,0.0070,False,,,,0.7079,agree_ridge_mlp,24
834,banana in black bowl,video_2cam,230,5.0184,0.7063,0.7380,0.0070,False,,,,0.7063,agree_ridge_mlp,25
863,banana in black bowl,video_2cam,195,4.8310,0.7046,0.5655,0.0063,False,,,,0.7046,agree_ridge_mlp,26
875,banana in black bowl,video_2cam,218,5.1718,0.7041,0.7409,0.0075,False,,,,0.7041,agree_ridge_mlp,27
866,banana in black bowl,video_2cam,245,4.5815,0.6997,0.5037,0.0060,False,,,,0.6997,agree_ridge_mlp,28
