episode_index,task,source_kind,n_valid,ood_maha,agree_ridge_mlp,agree_multi_side,amp_dx,heldout,r2_dx_ridge_multi,r2_dx_ridge_side,r2_xyz_ridge_multi,score,proxy,rank_in_task
973,blue brick in blue bowl,video_2cam,119,5.2113,0.9835,0.9262,0.0129,False,,,,0.9835,agree_ridge_mlp,1
980,blue brick in blue bowl,video_2cam,109,5.7485,0.9685,0.7636,0.0169,False,,,,0.9685,agree_ridge_mlp,2
974,blue brick in blue bowl,video_2cam,117,6.1733,0.9623,0.8141,0.0179,False,,,,0.9623,agree_ridge_mlp,3
975,blue brick in blue bowl,video_2cam,144,6.2884,0.9620,0.5974,0.0143,False,,,,0.9620,agree_ridge_mlp,4
972,blue brick in blue bowl,video_2cam,108,5.7358,0.9598,0.7193,0.0134,False,,,,0.9598,agree_ridge_mlp,5
976,blue brick in blue bowl,video_2cam,89,6.4730,0.9564,0.9144,0.0161,False,,,,0.9564,agree_ridge_mlp,6
979,blue brick in blue bowl,video_2cam,110,6.2891,0.9558,0.8200,0.0166,False,,,,0.9558,agree_ridge_mlp,7
977,blue brick in blue bowl,video_2cam,130,6.3523,0.9549,0.7759,0.0135,False,,,,0.9549,agree_ridge_mlp,8
978,blue brick in blue bowl,video_2cam,116,6.3568,0.9521,0.7929,0.0136,False,,,,0.9521,agree_ridge_mlp,9
965,blue brick in blue bowl,video_2cam,117,6.9440,0.9453,0.8330,0.0138,False,,,,0.9453,agree_ridge_mlp,10
971,blue brick in blue bowl,video_2cam,126,6.3972,0.9435,0.7331,0.0123,False,,,,0.9435,agree_ridge_mlp,11
967,blue brick in blue bowl,video_2cam,105,6.3906,0.9363,0.7013,0.0144,False,,,,0.9363,agree_ridge_mlp,12
963,blue brick in blue bowl,video_2cam,102,5.7451,0.9277,0.8830,0.0150,False,,,,0.9277,agree_ridge_mlp,13
966,blue brick in blue bowl,video_2cam,113,5.9429,0.9176,0.6888,0.0144,False,,,,0.9176,agree_ridge_mlp,14
968,blue brick in blue bowl,video_2cam,112,6.1449,0.9174,0.6648,0.0129,False,,,,0.9174,agree_ridge_mlp,15
962,blue brick in blue bowl,video_2cam,99,5.7312,0.9171,0.9367,0.0149,False,,,,0.9171,agree_ridge_mlp,16
964,blue brick in blue bowl,video_2cam,120,6.7928,0.8797,0.8012,0.0130,False,,,,0.8797,agree_ridge_mlp,17
961,blue brick in blue bowl,video_2cam,111,6.1316,0.8770,0.9433,0.0146,False,,,,0.8770,agree_ridge_mlp,18
969,blue brick in blue bowl,video_2cam,95,5.8781,0.8521,0.8523,0.0146,False,,,,0.8521,agree_ridge_mlp,19
