benchmark,method,role,arm_key,teacher_job,probe_job,ckpt_step,valid_rows,probe,target,action_dim,dim_name,r2,n_train,n_test,source_dir,note
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,mlp,current_action,-1,mean,0.525931,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,mlp,current_action,0,dy,0.851758,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,mlp,current_action,1,dx,0.639165,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,mlp,current_action,2,dz,0.890520,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,mlp,current_action,3,droll,0.195566,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,mlp,current_action,4,dpitch,0.373984,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,mlp,current_action,5,dyaw,0.305781,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,mlp,current_action,6,gripper,0.424743,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,mlp,future_action_mean,-1,mean,0.505585,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,mlp,future_action_mean,0,dy,0.791555,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,mlp,future_action_mean,1,dx,0.622961,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,mlp,future_action_mean,2,dz,0.878297,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,mlp,future_action_mean,3,droll,0.181063,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,mlp,future_action_mean,4,dpitch,0.306907,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,mlp,future_action_mean,5,dyaw,0.322623,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,mlp,future_action_mean,6,gripper,0.435691,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,ridge,current_action,-1,mean,0.333830,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,ridge,current_action,0,dy,0.738782,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,ridge,current_action,1,dx,0.324488,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,ridge,current_action,2,dz,0.774717,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,ridge,current_action,3,droll,0.078753,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,ridge,current_action,4,dpitch,0.225792,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,ridge,current_action,5,dyaw,0.051845,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,ridge,current_action,6,gripper,0.142432,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,ridge,future_action_mean,-1,mean,0.310918,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,ridge,future_action_mean,0,dy,0.655895,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,ridge,future_action_mean,1,dx,0.306669,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,ridge,future_action_mean,2,dz,0.777415,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,ridge,future_action_mean,3,droll,0.067788,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,ridge,future_action_mean,4,dpitch,0.169414,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,ridge,future_action_mean,5,dyaw,0.053015,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,canonical,libero_side_45408556,45408556,45408561,70000,4707223,ridge,future_action_mean,6,gripper,0.146230,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,"lam1o5_side: sideview-only single-view teacher, seed 1003. The reference every plain-LIBERO baseline (CLAM, LAOF, DINO, villa-X, LAPA) was built from, so it is the matched single-view comparator."
libero,ours_single,alternate,libero_frontsv_45351533,45351533,45351535,70000,4707223,mlp,current_action,-1,mean,0.571673,3289126,941386,probe_analysis/rlfv_libero_xemb_v1_lam1o5_sv_45351533_ckpt070000,"lam1o5_sv: frontview-only single-view teacher, seed 1003 (SR 62.65)."
