probe_model,split_mode,feature_set,target,action_dim,r2,avg_r2_for_target,mse,avg_mse_for_target,n_train,n_test,n_val,train_seconds,epochs,best_val_mse
mlp,episode,continuous,current_action,0,0.8763812949250851,0.6821516974086712,0.012346436246558984,0.058524412789727025,3289126,941386,476711,21.412861108779907,43.0,0.05719824135303497
mlp,episode,continuous,current_action,1,0.7709407425840977,0.6821516974086712,0.030934293581687186,0.058524412789727025,3289126,941386,476711,21.412861108779907,43.0,0.05719824135303497
mlp,episode,continuous,current_action,2,0.909934649867328,0.6821516974086712,0.015816348839505515,0.058524412789727025,3289126,941386,476711,21.412861108779907,43.0,0.05719824135303497
mlp,episode,continuous,current_action,3,0.4281490571428992,0.6821516974086712,0.0011997059000231328,0.058524412789727025,3289126,941386,476711,21.412861108779907,43.0,0.05719824135303497
mlp,episode,continuous,current_action,4,0.4901434334792696,0.6821516974086712,0.0018494296820046401,0.058524412789727025,3289126,941386,476711,21.412861108779907,43.0,0.05719824135303497
mlp,episode,continuous,current_action,5,0.644954457976618,0.6821516974086712,0.0025974597769605674,0.058524412789727025,3289126,941386,476711,21.412861108779907,43.0,0.05719824135303497
mlp,episode,continuous,current_action,6,0.6545582458854005,0.6821516974086712,0.34492721550134914,0.058524412789727025,3289126,941386,476711,21.412861108779907,43.0,0.05719824135303497
mlp,episode,continuous,future_action_mean,0,0.8333880955617663,0.6717197976268875,0.0160433276988653,0.05582921856935284,3289126,941386,476711,27.51353907585144,61.0,0.054280322045087814
mlp,episode,continuous,future_action_mean,1,0.770516834119788,0.6717197976268875,0.03037667420666973,0.05582921856935284,3289126,941386,476711,27.51353907585144,61.0,0.054280322045087814
mlp,episode,continuous,future_action_mean,2,0.9005767944491474,0.6717197976268875,0.017152234048862004,0.05582921856935284,3289126,941386,476711,27.51353907585144,61.0,0.054280322045087814
mlp,episode,continuous,future_action_mean,3,0.4214143068300126,0.6717197976268875,0.0011831408303268954,0.05582921856935284,3289126,941386,476711,27.51353907585144,61.0,0.054280322045087814
mlp,episode,continuous,future_action_mean,4,0.44976374958910137,0.6717197976268875,0.0019256201414319346,0.05582921856935284,3289126,941386,476711,27.51353907585144,61.0,0.054280322045087814
mlp,episode,continuous,future_action_mean,5,0.6623575941396421,0.6717197976268875,0.002465310505717068,0.05582921856935284,3289126,941386,476711,27.51353907585144,61.0,0.054280322045087814
mlp,episode,continuous,future_action_mean,6,0.6640212086987538,0.6717197976268875,0.32165822255359694,0.05582921856935284,3289126,941386,476711,27.51353907585144,61.0,0.054280322045087814
ridge,episode,continuous,current_action,0,0.7856855923870996,0.47163325275659584,0.02140468280029468,0.11950016788580588,3289126,941386,476711,1.1770563125610352,,
ridge,episode,continuous,current_action,1,0.5708973609146604,0.47163325275659584,0.05795001330175934,0.11950016788580588,3289126,941386,476711,1.1770563125610352,,
ridge,episode,continuous,current_action,2,0.8342205727528723,0.47163325275659584,0.029112474973911565,0.11950016788580588,3289126,941386,476711,1.1770563125610352,,
ridge,episode,continuous,current_action,3,0.1965467937111528,0.47163325275659584,0.0016855923104040467,0.11950016788580588,3289126,941386,476711,1.1770563125610352,,
ridge,episode,continuous,current_action,4,0.2830500611679798,0.47163325275659584,0.0026006304212881745,0.11950016788580588,3289126,941386,476711,1.1770563125610352,,
ridge,episode,continuous,current_action,5,0.351105510703433,0.47163325275659584,0.004747214472356908,0.11950016788580588,3289126,941386,476711,1.1770563125610352,,
ridge,episode,continuous,current_action,6,0.2799268776589733,0.47163325275659584,0.7190005669206264,0.11950016788580588,3289126,941386,476711,1.1770563125610352,,
ridge,episode,continuous,future_action_mean,0,0.7092881247434472,0.4440238480578071,0.027993113075671955,0.11666940843274728,3289126,941386,476711,0.023857831954956055,,
ridge,episode,continuous,future_action_mean,1,0.5399272627489559,0.4440238480578071,0.06089980324805524,0.11666940843274728,3289126,941386,476711,0.023857831954956055,,
ridge,episode,continuous,future_action_mean,2,0.8193173298669122,0.4440238480578071,0.031170906525548787,0.11666940843274728,3289126,941386,476711,0.023857831954956055,,
ridge,episode,continuous,future_action_mean,3,0.17743105693192207,0.4440238480578071,0.0016820583602241846,0.11666940843274728,3289126,941386,476711,0.023857831954956055,,
ridge,episode,continuous,future_action_mean,4,0.21852293189995364,0.4440238480578071,0.0027348761214421404,0.11666940843274728,3289126,941386,476711,0.023857831954956055,,
ridge,episode,continuous,future_action_mean,5,0.36183601350094774,0.4440238480578071,0.004659581714202904,0.11666940843274728,3289126,941386,476711,0.023857831954956055,,
ridge,episode,continuous,future_action_mean,6,0.2818442167125107,0.4440238480578071,0.6875455199840858,0.11666940843274728,3289126,941386,476711,0.023857831954956055,,
