probe_model,split_mode,feature_set,target,action_dim,r2,avg_r2_for_target,mse,avg_mse_for_target,n_train,n_test,n_val,train_seconds,epochs,best_val_mse
mlp,episode,continuous,current_action,0,0.8554892000280008,0.6053980681332557,0.014433037279530441,0.07808156397382948,3289126,941386,476711,27.7812397480011,58.0,0.07625654339790344
mlp,episode,continuous,current_action,1,0.7018468848373518,0.6053980681332557,0.040265371069414975,0.07808156397382948,3289126,941386,476711,27.7812397480011,58.0,0.07625654339790344
mlp,episode,continuous,current_action,2,0.9017080827639046,0.6053980681332557,0.017261013795203554,0.07808156397382948,3289126,941386,476711,27.7812397480011,58.0,0.07625654339790344
mlp,episode,continuous,current_action,3,0.2927448668425493,0.6053980681332557,0.00148377504080232,0.07808156397382948,3289126,941386,476711,27.7812397480011,58.0,0.07625654339790344
mlp,episode,continuous,current_action,4,0.43875424566763677,0.6053980681332557,0.002035836400116567,0.07808156397382948,3289126,941386,476711,27.7812397480011,58.0,0.07625654339790344
mlp,episode,continuous,current_action,5,0.5154879485278006,0.6053980681332557,0.0035446172848124526,0.07808156397382948,3289126,941386,476711,27.7812397480011,58.0,0.07625654339790344
mlp,episode,continuous,current_action,6,0.5317552482655462,0.6053980681332557,0.4675472969469261,0.07808156397382948,3289126,941386,476711,27.7812397480011,58.0,0.07625654339790344
mlp,episode,continuous,future_action_mean,0,0.798141487685551,0.581587814657229,0.019437280143848948,0.07553547911273158,3289126,941386,476711,27.31917643547058,58.0,0.07382938265800476
mlp,episode,continuous,future_action_mean,1,0.6910830019383982,0.581587814657229,0.04089132625927773,0.07553547911273158,3289126,941386,476711,27.31917643547058,58.0,0.07382938265800476
mlp,episode,continuous,future_action_mean,2,0.8873911591718503,0.581587814657229,0.01942698571378849,0.07553547911273158,3289126,941386,476711,27.31917643547058,58.0,0.07382938265800476
mlp,episode,continuous,future_action_mean,3,0.2638291950083185,0.581587814657229,0.001505384159618998,0.07553547911273158,3289126,941386,476711,27.31917643547058,58.0,0.07382938265800476
mlp,episode,continuous,future_action_mean,4,0.36463365219521604,0.581587814657229,0.0022235434971928673,0.07553547911273158,3289126,941386,476711,27.31917643547058,58.0,0.07382938265800476
mlp,episode,continuous,future_action_mean,5,0.5275202422435205,0.581587814657229,0.0034498312128999763,0.07553547911273158,3289126,941386,476711,27.31917643547058,58.0,0.07382938265800476
mlp,episode,continuous,future_action_mean,6,0.5385159643577486,0.581587814657229,0.441814002802494,0.07553547911273158,3289126,941386,476711,27.31917643547058,58.0,0.07382938265800476
ridge,episode,continuous,current_action,0,0.779981441884136,0.41602546857405986,0.02197438566591633,0.13583817691806394,3289126,941386,476711,0.8072144985198975,,
ridge,episode,continuous,current_action,1,0.49577269490420084,0.41602546857405986,0.06809554725577108,0.13583817691806394,3289126,941386,476711,0.8072144985198975,,
ridge,episode,continuous,current_action,2,0.8433867111267245,0.41602546857405986,0.027502812192181782,0.13583817691806394,3289126,941386,476711,0.8072144985198975,,
ridge,episode,continuous,current_action,3,0.12402171403683482,0.41602546857405986,0.001837745187078886,0.13583817691806394,3289126,941386,476711,0.8072144985198975,,
ridge,episode,continuous,current_action,4,0.2664606464255562,0.41602546857405986,0.0026608060825355933,0.13583817691806394,3289126,941386,476711,0.8072144985198975,,
ridge,episode,continuous,current_action,5,0.2269232039153295,0.41602546857405986,0.00565571354843046,0.13583817691806394,3289126,941386,476711,0.8072144985198975,,
ridge,episode,continuous,current_action,6,0.17563186772563721,0.41602546857405986,0.8231402284945334,0.13583817691806394,3289126,941386,476711,0.8072144985198975,,
ridge,episode,continuous,future_action_mean,0,0.6884427288526932,0.3773927893488595,0.030000349703904153,0.13409643697574175,3289126,941386,476711,0.024342060089111328,,
ridge,episode,continuous,future_action_mean,1,0.44481604702145483,0.3773927893488595,0.07348966970938293,0.13409643697574175,3289126,941386,476711,0.024342060089111328,,
ridge,episode,continuous,future_action_mean,2,0.8177088084497616,0.3773927893488595,0.03144840447652225,0.13409643697574175,3289126,941386,476711,0.024342060089111328,,
ridge,episode,continuous,future_action_mean,3,0.0976209652823894,0.3773927893488595,0.0018452607677800026,0.13409643697574175,3289126,941386,476711,0.024342060089111328,,
ridge,episode,continuous,future_action_mean,4,0.19193054030833734,0.3773927893488595,0.0028279395007077233,0.13409643697574175,3289126,941386,476711,0.024342060089111328,,
ridge,episode,continuous,future_action_mean,5,0.2299965100921123,0.3773927893488595,0.005622213502097304,0.13409643697574175,3289126,941386,476711,0.024342060089111328,,
ridge,episode,continuous,future_action_mean,6,0.17123392543526794,0.3773927893488595,0.793441221169798,0.13409643697574175,3289126,941386,476711,0.024342060089111328,,
