slice,probe_model,split_mode,feature_set,target,action_dim,r2,avg_r2_for_target,mse,avg_mse_for_target,n_train,n_test,n_val,train_seconds,epochs,best_val_mse
all,mlp,episode,continuous,current_action,0,0.8846701245794523,0.6724229703104311,0.011518588172724095,0.05916059920569385,3289126,941386,476711,30.116721391677856,64.0,0.05787106230854988
all,mlp,episode,continuous,current_action,1,0.9043629736618478,0.6724229703104311,0.012915713965894315,0.05916059920569385,3289126,941386,476711,30.116721391677856,64.0,0.05787106230854988
all,mlp,episode,continuous,current_action,2,0.923307862544633,0.6724229703104311,0.013467883014439838,0.05916059920569385,3289126,941386,476711,30.116721391677856,64.0,0.05787106230854988
all,mlp,episode,continuous,current_action,3,0.49855521757685073,0.6724229703104311,0.0010519983774149306,0.05916059920569385,3289126,941386,476711,30.116721391677856,64.0,0.05787106230854988
all,mlp,episode,continuous,current_action,4,0.4287082920570011,0.6724229703104311,0.0020722766188203032,0.05916059920569385,3289126,941386,476711,30.116721391677856,64.0,0.05787106230854988
all,mlp,episode,continuous,current_action,5,0.4368848060077294,0.6724229703104311,0.0041196660514440245,0.05916059920569385,3289126,941386,476711,30.116721391677856,64.0,0.05787106230854988
all,mlp,episode,continuous,current_action,6,0.6304715157455029,0.6724229703104311,0.3689780682391195,0.05916059920569385,3289126,941386,476711,30.116721391677856,64.0,0.05787106230854988
all,mlp,episode,continuous,future_action_mean,0,0.835967206132247,0.6496014604775724,0.015794981002431194,0.05727382237179995,3289126,941386,476711,21.086920022964478,44.0,0.05566658824682236
all,mlp,episode,continuous,future_action_mean,1,0.8895617589441326,0.6496014604775724,0.014618703971788887,0.05727382237179995,3289126,941386,476711,21.086920022964478,44.0,0.05566658824682236
all,mlp,episode,continuous,future_action_mean,2,0.9111500361760448,0.6496014604775724,0.015328165756654504,0.05727382237179995,3289126,941386,476711,21.086920022964478,44.0,0.05566658824682236
all,mlp,episode,continuous,future_action_mean,3,0.46947257512000107,0.6496014604775724,0.0010848672295104569,0.05727382237179995,3289126,941386,476711,21.086920022964478,44.0,0.05566658824682236
all,mlp,episode,continuous,future_action_mean,4,0.3529825279413167,0.6496014604775724,0.002264318054515982,0.05727382237179995,3289126,941386,476711,21.086920022964478,44.0,0.05566658824682236
all,mlp,episode,continuous,future_action_mean,5,0.45138139460072846,0.6496014604775724,0.004005762274073014,0.05727382237179995,3289126,941386,476711,21.086920022964478,44.0,0.05566658824682236
all,mlp,episode,continuous,future_action_mean,6,0.6366947244285361,0.6496014604775724,0.3478199583136256,0.05727382237179995,3289126,941386,476711,21.086920022964478,44.0,0.05566658824682236
all,ridge,episode,continuous,current_action,0,0.8098814156840274,0.47395134495724445,0.01898812141027292,0.11999244593057949,3289126,941386,476711,0.9580984115600586,,
all,ridge,episode,continuous,current_action,1,0.8386889094501777,0.47395134495724445,0.021784950712513296,0.11999244593057949,3289126,941386,476711,0.9580984115600586,,
all,ridge,episode,continuous,current_action,2,0.8736373406154607,0.47395134495724445,0.022190508316121883,0.11999244593057949,3289126,941386,476711,0.9580984115600586,,
all,ridge,episode,continuous,current_action,3,0.2608143790763118,0.47395134495724445,0.001550763117052365,0.11999244593057949,3289126,941386,476711,0.9580984115600586,,
all,ridge,episode,continuous,current_action,4,0.21857442515195158,0.47395134495724445,0.002834506304907537,0.11999244593057949,3289126,941386,476711,0.9580984115600586,,
all,ridge,episode,continuous,current_action,5,0.08309578541442009,0.47395134495724445,0.0067079333066370934,0.11999244593057949,3289126,941386,476711,0.9580984115600586,,
all,ridge,episode,continuous,current_action,6,0.23296715930836143,0.47395134495724445,0.7658903383465514,0.11999244593057949,3289126,941386,476711,0.9580984115600586,,
all,ridge,episode,continuous,future_action_mean,0,0.7226360961393903,0.4407630911770338,0.026707815485789453,0.11746549341658134,3289126,941386,476711,0.030089378356933594,,
all,ridge,episode,continuous,future_action_mean,1,0.7992663291705417,0.4407630911770338,0.026571105107893785,0.11746549341658134,3289126,941386,476711,0.030089378356933594,,
all,ridge,episode,continuous,future_action_mean,2,0.8528462242882459,0.4407630911770338,0.025386588454852997,0.11746549341658134,3289126,941386,476711,0.030089378356933594,,
all,ridge,episode,continuous,future_action_mean,3,0.22883004211539504,0.4407630911770338,0.0015769533797073791,0.11746549341658134,3289126,941386,476711,0.030089378356933594,,
all,ridge,episode,continuous,future_action_mean,4,0.1601038480142738,0.4407630911770338,0.0029393209657981073,0.11746549341658134,3289126,941386,476711,0.030089378356933594,,
all,ridge,episode,continuous,future_action_mean,5,0.08667467337965085,0.4407630911770338,0.006668684039012115,0.11746549341658134,3289126,941386,476711,0.030089378356933594,,
all,ridge,episode,continuous,future_action_mean,6,0.23498442513173867,0.4407630911770338,0.7324079864830156,0.11746549341658134,3289126,941386,476711,0.030089378356933594,,
eval_nonholdout,mlp,episode,continuous,current_action,0,0.8844074098214566,0.6872242378755351,0.013145852692836486,0.05359678520888573,917419,264212,130503,9.674485206604004,78.0,0.054678499698638916
eval_nonholdout,mlp,episode,continuous,current_action,1,0.924700711046446,0.6872242378755351,0.011226870985936319,0.05359678520888573,917419,264212,130503,9.674485206604004,78.0,0.054678499698638916
eval_nonholdout,mlp,episode,continuous,current_action,2,0.9267230890273986,0.6872242378755351,0.014161853831394485,0.05359678520888573,917419,264212,130503,9.674485206604004,78.0,0.054678499698638916
eval_nonholdout,mlp,episode,continuous,current_action,3,0.4782209967427503,0.6872242378755351,0.000807915755843707,0.05359678520888573,917419,264212,130503,9.674485206604004,78.0,0.054678499698638916
eval_nonholdout,mlp,episode,continuous,current_action,4,0.4610872223660779,0.6872242378755351,0.002255014541715768,0.05359678520888573,917419,264212,130503,9.674485206604004,78.0,0.054678499698638916
eval_nonholdout,mlp,episode,continuous,current_action,5,0.4669677742044558,0.6872242378755351,0.0031356850011509375,0.05359678520888573,917419,264212,130503,9.674485206604004,78.0,0.054678499698638916
eval_nonholdout,mlp,episode,continuous,current_action,6,0.6684624619201611,0.6872242378755351,0.3304443036533224,0.05359678520888573,917419,264212,130503,9.674485206604004,78.0,0.054678499698638916
eval_nonholdout,mlp,episode,continuous,future_action_mean,0,0.835519824204391,0.6655758280076578,0.017893677446091796,0.05211734930087124,917419,264212,130503,5.860407114028931,44.0,0.0527564212679863
eval_nonholdout,mlp,episode,continuous,future_action_mean,1,0.9074456674754778,0.6655758280076578,0.013441729571585551,0.05211734930087124,917419,264212,130503,5.860407114028931,44.0,0.0527564212679863
eval_nonholdout,mlp,episode,continuous,future_action_mean,2,0.9119247595286695,0.6655758280076578,0.016599048979464664,0.05211734930087124,917419,264212,130503,5.860407114028931,44.0,0.0527564212679863
eval_nonholdout,mlp,episode,continuous,future_action_mean,3,0.438841168805138,0.6655758280076578,0.0008290380143653927,0.05211734930087124,917419,264212,130503,5.860407114028931,44.0,0.0527564212679863
eval_nonholdout,mlp,episode,continuous,future_action_mean,4,0.3959401904277785,0.6655758280076578,0.0024131683546780133,0.05211734930087124,917419,264212,130503,5.860407114028931,44.0,0.0527564212679863
eval_nonholdout,mlp,episode,continuous,future_action_mean,5,0.49622866986738023,0.6655758280076578,0.00293460273931287,0.05211734930087124,917419,264212,130503,5.860407114028931,44.0,0.0527564212679863
eval_nonholdout,mlp,episode,continuous,future_action_mean,6,0.6731305157447705,0.6655758280076578,0.31071018000060036,0.05211734930087124,917419,264212,130503,5.860407114028931,44.0,0.0527564212679863
eval_nonholdout,ridge,episode,continuous,current_action,0,0.8047652939660948,0.459792954510835,0.022203211140841436,0.12600651276979793,917419,264212,130503,0.00691533088684082,,
eval_nonholdout,ridge,episode,continuous,current_action,1,0.8485497421978325,0.459792954510835,0.022580724582678537,0.12600651276979793,917419,264212,130503,0.00691533088684082,,
eval_nonholdout,ridge,episode,continuous,current_action,2,0.8698583974768752,0.459792954510835,0.025151801950345002,0.12600651276979793,917419,264212,130503,0.00691533088684082,,
eval_nonholdout,ridge,episode,continuous,current_action,3,0.19713954344234075,0.459792954510835,0.0012431385865425634,0.12600651276979793,917419,264212,130503,0.00691533088684082,,
eval_nonholdout,ridge,episode,continuous,current_action,4,0.22663373202846504,0.459792954510835,0.003236056469109948,0.12600651276979793,917419,264212,130503,0.00691533088684082,,
eval_nonholdout,ridge,episode,continuous,current_action,5,0.07645563904828845,0.459792954510835,0.005432962699791082,0.12600651276979793,917419,264212,130503,0.00691533088684082,,
eval_nonholdout,ridge,episode,continuous,current_action,6,0.19514833341594895,0.459792954510835,0.802197693959277,0.12600651276979793,917419,264212,130503,0.00691533088684082,,
