probe_model,split_mode,feature_set,target,action_dim,r2,avg_r2_for_target,mse,avg_mse_for_target,n_train,n_test,n_val,train_seconds,epochs,best_val_mse
mlp,episode,continuous,current_action,0,0.5813412740341077,0.571672877264434,0.04181360147779445,0.07570454809917979,3289126,941386,476711,43.03066635131836,89.0,0.07427118718624115
mlp,episode,continuous,current_action,1,0.8963838960415976,0.571672877264434,0.013993282855274432,0.07570454809917979,3289126,941386,476711,43.03066635131836,89.0,0.07427118718624115
mlp,episode,continuous,current_action,2,0.8896828381083155,0.571672877264434,0.01937276336452212,0.07570454809917979,3289126,941386,476711,43.03066635131836,89.0,0.07427118718624115
mlp,episode,continuous,current_action,3,0.47588343948551526,0.571672877264434,0.0010995622859472755,0.07570454809917979,3289126,941386,476711,43.03066635131836,89.0,0.07427118718624115
mlp,episode,continuous,current_action,4,0.24960467397404318,0.571672877264434,0.002721948642655221,0.07570454809917979,3289126,941386,476711,43.03066635131836,89.0,0.07427118718624115
mlp,episode,continuous,current_action,5,0.35569670710587953,0.571672877264434,0.004713625970117115,0.07570454809917979,3289126,941386,476711,43.03066635131836,89.0,0.07427118718624115
mlp,episode,continuous,current_action,6,0.5531173121015792,0.571672877264434,0.4462170520979479,0.07570454809917979,3289126,941386,476711,43.03066635131836,89.0,0.07427118718624115
mlp,episode,continuous,future_action_mean,0,0.5376921346325947,0.556173147002483,0.04451636638366253,0.07213092181421141,3289126,941386,476711,34.9195876121521,71.0,0.07068001478910446
mlp,episode,continuous,future_action_mean,1,0.8816501847047552,0.556173147002483,0.015665958624258226,0.07213092181421141,3289126,941386,476711,34.9195876121521,71.0,0.07068001478910446
mlp,episode,continuous,future_action_mean,2,0.8882547493689689,0.556173147002483,0.01927800136852209,0.07213092181421141,3289126,941386,476711,34.9195876121521,71.0,0.07068001478910446
mlp,episode,continuous,future_action_mean,3,0.44848974037949296,0.556173147002483,0.0011277746999345535,0.07213092181421141,3289126,941386,476711,34.9195876121521,71.0,0.07068001478910446
mlp,episode,continuous,future_action_mean,4,0.2091901128426693,0.556173147002483,0.002767537481611751,0.07213092181421141,3289126,941386,476711,34.9195876121521,71.0,0.07068001478910446
mlp,episode,continuous,future_action_mean,5,0.36340922742054493,0.556173147002483,0.004648094825303861,0.07213092181421141,3289126,941386,476711,34.9195876121521,71.0,0.07068001478910446
mlp,episode,continuous,future_action_mean,6,0.5645258796683548,0.556173147002483,0.41691271931618684,0.07213092181421141,3289126,941386,476711,34.9195876121521,71.0,0.07068001478910446
ridge,episode,continuous,current_action,0,0.24494509559272526,0.3716070229576834,0.07541121899203428,0.13283112028833177,3289126,941386,476711,1.0008199214935303,,
ridge,episode,continuous,current_action,1,0.8270602505445601,0.3716070229576834,0.02335539301904067,0.13283112028833177,3289126,941386,476711,1.0008199214935303,,
ridge,episode,continuous,current_action,2,0.8003593494895609,0.3716070229576834,0.035058834128414346,0.13283112028833177,3289126,941386,476711,1.0008199214935303,,
ridge,episode,continuous,current_action,3,0.3180392882341442,0.3716070229576834,0.0014307089980507724,0.13283112028833177,3289126,941386,476711,1.0008199214935303,,
ridge,episode,continuous,current_action,4,0.13352182615350772,0.3716070229576834,0.003143022094343711,0.13283112028833177,3289126,941386,476711,1.0008199214935303,,
ridge,episode,continuous,current_action,5,0.06305784624935717,0.3716070229576834,0.0068545278553189815,0.13283112028833177,3289126,941386,476711,1.0008199214935303,,
ridge,episode,continuous,current_action,6,0.2142655044399281,0.3716070229576834,0.7845641369311196,0.13283112028833177,3289126,941386,476711,1.0008199214935303,,
ridge,episode,continuous,future_action_mean,0,0.18117559637811564,0.34775002649264414,0.07884591607920699,0.12905258531351102,3289126,941386,476711,0.023761272430419922,,
ridge,episode,continuous,future_action_mean,1,0.7947392207477333,0.34775002649264414,0.02717035820399978,0.12905258531351102,3289126,941386,476711,0.023761272430419922,,
ridge,episode,continuous,future_action_mean,2,0.7995106192548511,0.34775002649264414,0.03458790896752282,0.12905258531351102,3289126,941386,476711,0.023761272430419922,,
ridge,episode,continuous,future_action_mean,3,0.28688978986425406,0.34775002649264414,0.0014582279100473932,0.12905258531351102,3289126,941386,476711,0.023761272430419922,,
ridge,episode,continuous,future_action_mean,4,0.0955406987130345,0.34775002649264414,0.0031652677306575694,0.12905258531351102,3289126,941386,476711,0.023761272430419922,,
ridge,episode,continuous,future_action_mean,5,0.06112748302395221,0.34775002649264414,0.00685521794495018,0.12905258531351102,3289126,941386,476711,0.023761272430419922,,
ridge,episode,continuous,future_action_mean,6,0.21526677746656764,0.34775002649264414,0.7512852003581925,0.12905258531351102,3289126,941386,476711,0.023761272430419922,,
