probe_model,split_mode,feature_set,target,action_dim,r2,avg_r2_for_target,mse,avg_mse_for_target,n_train,n_test,n_val,train_seconds,epochs,best_val_mse
mlp,episode,continuous,current_action,0,0.8659054403752585,0.6161983637562466,0.013392713751644292,0.08518022487060535,3289126,941386,476711,19.25591206550598,39.0,0.08417101949453354
mlp,episode,continuous,current_action,1,0.7522952834246563,0.6161983637562466,0.033452349887773306,0.08518022487060535,3289126,941386,476711,19.25591206550598,39.0,0.08417101949453354
mlp,episode,continuous,current_action,2,0.9018628648718304,0.6161983637562466,0.01723383255614254,0.08518022487060535,3289126,941386,476711,19.25591206550598,39.0,0.08417101949453354
mlp,episode,continuous,current_action,3,0.2975746722079996,0.6161983637562466,0.0014736424248378446,0.08518022487060535,3289126,941386,476711,19.25591206550598,39.0,0.08417101949453354
mlp,episode,continuous,current_action,4,0.4797501217029748,0.6161983637562466,0.0018871298913489603,0.08518022487060535,3289126,941386,476711,19.25591206550598,39.0,0.08417101949453354
mlp,episode,continuous,current_action,5,0.542257156048038,0.6161983637562466,0.0033487777894094994,0.08518022487060535,3289126,941386,476711,19.25591206550598,39.0,0.08417101949453354
mlp,episode,continuous,current_action,6,0.47374300766296884,0.6161983637562466,0.525473127793081,0.08518022487060535,3289126,941386,476711,19.25591206550598,39.0,0.08417101949453354
mlp,episode,continuous,future_action_mean,0,0.8101587612505672,0.5927035057281974,0.01828011758394353,0.0828702640081497,3289126,941386,476711,20.510157346725464,43.0,0.08178579062223434
mlp,episode,continuous,future_action_mean,1,0.7428419817058676,0.5927035057281974,0.03403999291796095,0.0828702640081497,3289126,941386,476711,20.510157346725464,43.0,0.08178579062223434
mlp,episode,continuous,future_action_mean,2,0.8880174820833988,0.5927035057281974,0.019318934106424566,0.0828702640081497,3289126,941386,476711,20.510157346725464,43.0,0.08178579062223434
mlp,episode,continuous,future_action_mean,3,0.2687090052686819,0.5927035057281974,0.00149540551197624,0.0828702640081497,3289126,941386,476711,20.510157346725464,43.0,0.08178579062223434
mlp,episode,continuous,future_action_mean,4,0.40028053478406733,0.5927035057281974,0.002098792801394305,0.0828702640081497,3289126,941386,476711,20.510157346725464,43.0,0.08178579062223434
mlp,episode,continuous,future_action_mean,5,0.562918775838628,0.5927035057281974,0.0031913673018381357,0.0828702640081497,3289126,941386,476711,20.510157346725464,43.0,0.08178579062223434
mlp,episode,continuous,future_action_mean,6,0.4759979991661718,0.5927035057281974,0.5016672378335102,0.0828702640081497,3289126,941386,476711,20.510157346725464,43.0,0.08178579062223434
ridge,episode,continuous,current_action,0,0.7826484481390725,0.43606230448504574,0.02170801802619876,0.12800862032623792,3289126,941386,476711,1.1434717178344727,,
ridge,episode,continuous,current_action,1,0.6025042672327935,0.43606230448504574,0.053681522561484486,0.12800862032623792,3289126,941386,476711,1.1434717178344727,,
ridge,episode,continuous,current_action,2,0.7896733477578716,0.43606230448504574,0.03693539965376888,0.12800862032623792,3289126,941386,476711,1.1434717178344727,,
ridge,episode,continuous,current_action,3,0.10254983270947726,0.43606230448504574,0.0018827917906296728,0.12800862032623792,3289126,941386,476711,1.1434717178344727,,
ridge,episode,continuous,current_action,4,0.3019977838336193,0.43606230448504574,0.0025319003450172024,0.12800862032623792,3289126,941386,476711,1.1434717178344727,,
ridge,episode,continuous,current_action,5,0.2480362383201018,0.43606230448504574,0.005501253764698353,0.12800862032623792,3289126,941386,476711,1.1434717178344727,,
ridge,episode,continuous,current_action,6,0.22502621340238438,0.43606230448504574,0.7738194561418682,0.12800862032623792,3289126,941386,476711,1.1434717178344727,,
ridge,episode,continuous,future_action_mean,0,0.7109850215583655,0.4093593403351966,0.027829716157758515,0.12524430305180564,3289126,941386,476711,0.02613353729248047,,
ridge,episode,continuous,future_action_mean,1,0.561544399308948,0.4093593403351966,0.05803834405541564,0.12524430305180564,3289126,941386,476711,0.02613353729248047,,
ridge,episode,continuous,future_action_mean,2,0.7783713849056707,0.4093593403351966,0.03823479495517519,0.12524430305180564,3289126,941386,476711,0.02613353729248047,,
ridge,episode,continuous,future_action_mean,3,0.08514993415936634,0.4093593403351966,0.0018707625841783405,0.12524430305180564,3289126,941386,476711,0.02613353729248047,,
ridge,episode,continuous,future_action_mean,4,0.2320836264774997,0.4093593403351966,0.002687418785450865,0.12524430305180564,3289126,941386,476711,0.02613353729248047,,
ridge,episode,continuous,future_action_mean,5,0.27319095454848874,0.4093593403351966,0.005306827413565052,0.12524430305180564,3289126,941386,476711,0.02613353729248047,,
ridge,episode,continuous,future_action_mean,6,0.2241900613880372,0.4093593403351966,0.742742257411096,0.12524430305180564,3289126,941386,476711,0.02613353729248047,,
