probe_model,split_mode,feature_set,target,action_dim,r2,avg_r2_for_target,mse,avg_mse_for_target,n_train,n_test,n_val,train_seconds,epochs,best_val_mse
mlp,episode,continuous,current_action,0,0.8517584354021365,0.5259309894369448,0.01480564794210159,0.09517138661229445,3289126,941386,476711,27.31773805618286,56.0,0.09395202249288559
mlp,episode,continuous,current_action,1,0.6391645322300658,0.5259309894369448,0.04873057924226747,0.09517138661229445,3289126,941386,476711,27.31773805618286,56.0,0.09395202249288559
mlp,episode,continuous,current_action,2,0.8905204839867612,0.5259309894369448,0.01922566462568465,0.09517138661229445,3289126,941386,476711,27.31773805618286,56.0,0.09395202249288559
mlp,episode,continuous,current_action,3,0.19556649790894187,0.5259309894369448,0.0016876489069216716,0.09517138661229445,3289126,941386,476711,27.31773805618286,56.0,0.09395202249288559
mlp,episode,continuous,current_action,4,0.37398355860683863,0.5259309894369448,0.0022707825379912148,0.09517138661229445,3289126,941386,476711,27.31773805618286,56.0,0.09395202249288559
mlp,episode,continuous,current_action,5,0.30578084921765103,0.5259309894369448,0.0050788028777280685,0.09517138661229445,3289126,941386,476711,27.31773805618286,56.0,0.09395202249288559
mlp,episode,continuous,current_action,6,0.42474256870621907,0.5259309894369448,0.5744005801533665,0.09517138661229445,3289126,941386,476711,27.31773805618286,56.0,0.09395202249288559
mlp,episode,continuous,future_action_mean,0,0.7915554121661555,0.5055853137137912,0.02007146392659485,0.0914682978102092,3289126,941386,476711,19.054455041885376,38.0,0.09069426357746124
mlp,episode,continuous,future_action_mean,1,0.6229608765938809,0.5055853137137912,0.049908648292112556,0.0914682978102092,3289126,941386,476711,19.054455041885376,38.0,0.09069426357746124
mlp,episode,continuous,future_action_mean,2,0.8782969049608768,0.5055853137137912,0.02099590290834308,0.0914682978102092,3289126,941386,476711,19.054455041885376,38.0,0.09069426357746124
mlp,episode,continuous,future_action_mean,3,0.18106277245722424,0.5055853137137912,0.0016746319219751236,0.0914682978102092,3289126,941386,476711,19.054455041885376,38.0,0.09069426357746124
mlp,episode,continuous,future_action_mean,4,0.3069068448122929,0.5055853137137912,0.002425565633891618,0.0914682978102092,3289126,941386,476711,19.054455041885376,38.0,0.09069426357746124
mlp,episode,continuous,future_action_mean,5,0.3226231357354844,0.5055853137137912,0.004945896222797471,0.0914682978102092,3289126,941386,476711,19.054455041885376,38.0,0.09069426357746124
mlp,episode,continuous,future_action_mean,6,0.43569124927062375,0.5055853137137912,0.5402559757657497,0.0914682978102092,3289126,941386,476711,19.054455041885376,38.0,0.09069426357746124
ridge,episode,continuous,current_action,0,0.738782197324459,0.33382998877574943,0.026089166241025783,0.14640663261098205,3289126,941386,476711,1.1906912326812744,,
ridge,episode,continuous,current_action,1,0.32448801800040417,0.33382998877574943,0.09122742387652638,0.14640663261098205,3289126,941386,476711,1.1906912326812744,,
ridge,episode,continuous,current_action,2,0.7747169702222941,0.33382998877574943,0.039561884579765116,0.14640663261098205,3289126,941386,476711,1.1906912326812744,,
ridge,episode,continuous,current_action,3,0.07875286247397484,0.33382998877574943,0.0019327162787341565,0.14640663261098205,3289126,941386,476711,1.1906912326812744,,
ridge,episode,continuous,current_action,4,0.225792393797572,0.33382998877574943,0.0028083241855948763,0.14640663261098205,3289126,941386,476711,1.1906912326812744,,
ridge,episode,continuous,current_action,5,0.051845189612944265,0.33382998877574943,0.006936557964583202,0.14640663261098205,3289126,941386,476711,1.1906912326812744,,
ridge,episode,continuous,current_action,6,0.14243228999859792,0.33382998877574943,0.8562903551506448,0.14640663261098205,3289126,941386,476711,1.1906912326812744,,
ridge,episode,continuous,future_action_mean,0,0.6558951975361833,0.3109179548523855,0.03313440373479982,0.14177394304182767,3289126,941386,476711,0.024712085723876953,,
ridge,episode,continuous,future_action_mean,1,0.3066687451959752,0.3109179548523855,0.09177622055064845,0.14177394304182767,3289126,941386,476711,0.024712085723876953,,
ridge,episode,continuous,future_action_mean,2,0.7774147398756224,0.3109179548523855,0.038399832879331415,0.14177394304182767,3289126,941386,476711,0.024712085723876953,,
ridge,episode,continuous,future_action_mean,3,0.06778800941356877,0.3109179548523855,0.0019062657124137995,0.14177394304182767,3289126,941386,476711,0.024712085723876953,,
ridge,episode,continuous,future_action_mean,4,0.16941396516480045,0.3109179548523855,0.0029067390537725777,0.14177394304182767,3289126,941386,476711,0.024712085723876953,,
ridge,episode,continuous,future_action_mean,5,0.053015336702558424,0.3109179548523855,0.006914449129194013,0.14177394304182767,3289126,941386,476711,0.024712085723876953,,
ridge,episode,continuous,future_action_mean,6,0.14622969007799003,0.3109179548523855,0.8173796902326336,0.14177394304182767,3289126,941386,476711,0.024712085723876953,,
