probe_model,split_mode,feature_set,target,action_dim,r2,avg_r2_for_target,mse,avg_mse_for_target,n_train,n_test,n_val,train_seconds,epochs,best_val_mse
mlp,episode,continuous,current_action,0,0.8083605072779223,0.6406178052246686,0.026544768155878088,0.06348210124624402,5062565,1443742,722523,50.38837194442749,78.0,0.06329294294118881
mlp,episode,continuous,current_action,1,0.9322557741351482,0.6406178052246686,0.010520369529822372,0.06348210124624402,5062565,1443742,722523,50.38837194442749,78.0,0.06329294294118881
mlp,episode,continuous,current_action,2,0.9012422910471278,0.6406178052246686,0.020603768071746225,0.06348210124624402,5062565,1443742,722523,50.38837194442749,78.0,0.06329294294118881
mlp,episode,continuous,current_action,3,0.41897125627034537,0.6406178052246686,0.001133028552993994,0.06348210124624402,5062565,1443742,722523,50.38837194442749,78.0,0.06329294294118881
mlp,episode,continuous,current_action,4,0.4181758699563304,0.6406178052246686,0.00427588354922439,0.06348210124624402,5062565,1443742,722523,50.38837194442749,78.0,0.06329294294118881
mlp,episode,continuous,current_action,5,0.38306121964331874,0.6406178052246686,0.0035716675330309485,0.06348210124624402,5062565,1443742,722523,50.38837194442749,78.0,0.06329294294118881
mlp,episode,continuous,current_action,6,0.6222577182424871,0.6406178052246686,0.3777252233310122,0.06348210124624402,5062565,1443742,722523,50.38837194442749,78.0,0.06329294294118881
mlp,episode,continuous,future_action_mean,0,0.7484669297067942,0.6100179278440084,0.03357103851749313,0.06009215378291671,5062565,1443742,722523,82.38493514060974,137.0,0.05996468663215637
mlp,episode,continuous,future_action_mean,1,0.9033567488123866,0.6100179278440084,0.014619706384888076,0.06009215378291671,5062565,1443742,722523,82.38493514060974,137.0,0.05996468663215637
mlp,episode,continuous,future_action_mean,2,0.8942778369263418,0.6100179278440084,0.021553993418627855,0.06009215378291671,5062565,1443742,722523,82.38493514060974,137.0,0.05996468663215637
mlp,episode,continuous,future_action_mean,3,0.35931131987160114,0.6100179278440084,0.001207456513369736,0.06009215378291671,5062565,1443742,722523,82.38493514060974,137.0,0.05996468663215637
mlp,episode,continuous,future_action_mean,4,0.3463936966181578,0.6100179278440084,0.00473169135316208,0.06009215378291671,5062565,1443742,722523,82.38493514060974,137.0,0.05996468663215637
mlp,episode,continuous,future_action_mean,5,0.3766586780060094,0.6100179278440084,0.0036090876788536885,0.06009215378291671,5062565,1443742,722523,82.38493514060974,137.0,0.05996468663215637
mlp,episode,continuous,future_action_mean,6,0.6416602849667675,0.6100179278440084,0.34135210261402243,0.06009215378291671,5062565,1443742,722523,82.38493514060974,137.0,0.05996468663215637
ridge,episode,continuous,current_action,0,0.7102025349416998,0.42849757531453064,0.04014102945518566,0.13372159534692346,5062565,1443742,722523,0.9114530086517334,,
ridge,episode,continuous,current_action,1,0.8883581963233773,0.42849757531453064,0.017337463299043076,0.13372159534692346,5062565,1443742,722523,0.9114530086517334,,
ridge,episode,continuous,current_action,2,0.8232394137534079,0.42849757531453064,0.036877466699725,0.13372159534692346,5062565,1443742,722523,0.9114530086517334,,
ridge,episode,continuous,current_action,3,0.19890176637460977,0.42849757531453064,0.001562172581384281,0.13372159534692346,5062565,1443742,722523,0.9114530086517334,,
ridge,episode,continuous,current_action,4,0.16777723111853993,0.42849757531453064,0.0061160881149482735,0.13372159534692346,5062565,1443742,722523,0.9114530086517334,,
ridge,episode,continuous,current_action,5,0.039497571991950475,0.42849757531453064,0.005560673841139243,0.13372159534692346,5062565,1443742,722523,0.9114530086517334,,
ridge,episode,continuous,current_action,6,0.171506312698129,0.42849757531453064,0.8284562734370386,0.13372159534692346,5062565,1443742,722523,0.9114530086517334,,
ridge,episode,continuous,future_action_mean,0,0.6005813256097798,0.38622119295831453,0.05330869490413212,0.13135806816261303,5062565,1443742,722523,0.03744935989379883,,
ridge,episode,continuous,future_action_mean,1,0.8137669507146621,0.38622119295831453,0.028172401758592636,0.13135806816261303,5062565,1443742,722523,0.03744935989379883,,
ridge,episode,continuous,future_action_mean,2,0.8162365472765388,0.38622119295831453,0.037464578243884744,0.13135806816261303,5062565,1443742,722523,0.03744935989379883,,
ridge,episode,continuous,future_action_mean,3,0.15459735656472862,0.38622119295831453,0.0015932651221984093,0.13135806816261303,5062565,1443742,722523,0.03744935989379883,,
ridge,episode,continuous,future_action_mean,4,0.10211959825983208,0.38622119295831453,0.0065000794990889834,0.13135806816261303,5062565,1443742,722523,0.03744935989379883,,
ridge,episode,continuous,future_action_mean,5,0.042330940165077546,0.38622119295831453,0.005544813864117507,0.13135806816261303,5062565,1443742,722523,0.03744935989379883,,
ridge,episode,continuous,future_action_mean,6,0.17391563211758276,0.38622119295831453,0.7869226437462767,0.13135806816261303,5062565,1443742,722523,0.03744935989379883,,
