probe_model,split_mode,feature_set,target,action_dim,r2,avg_r2_for_target,mse,avg_mse_for_target,n_train,n_test,n_val,train_seconds,epochs,best_val_mse
mlp,episode,continuous,current_action,0,0.7818050143147034,0.708406552461413,0.030223077850612994,0.04817382993075014,5062565,1443742,722523,56.21870708465576,75.0,0.048574961721897125
mlp,episode,continuous,current_action,1,0.9504974091754366,0.708406552461413,0.007687526745038859,0.04817382993075014,5062565,1443742,722523,56.21870708465576,75.0,0.048574961721897125
mlp,episode,continuous,current_action,2,0.9154259185254889,0.708406552461413,0.017644645446497232,0.04817382993075014,5062565,1443742,722523,56.21870708465576,75.0,0.048574961721897125
mlp,episode,continuous,current_action,3,0.6241547712122698,0.708406552461413,0.000732912752284073,0.04817382993075014,5062565,1443742,722523,56.21870708465576,75.0,0.048574961721897125
mlp,episode,continuous,current_action,4,0.42308240458042135,0.708406552461413,0.0042398249370089154,0.04817382993075014,5062565,1443742,722523,56.21870708465576,75.0,0.048574961721897125
mlp,episode,continuous,current_action,5,0.5379063291637053,0.708406552461413,0.002675216753906902,0.04817382993075014,5062565,1443742,722523,56.21870708465576,75.0,0.048574961721897125
mlp,episode,continuous,current_action,6,0.7259740202578657,0.708406552461413,0.27401360502990196,0.04817382993075014,5062565,1443742,722523,56.21870708465576,75.0,0.048574961721897125
mlp,episode,continuous,future_action_mean,0,0.740434950343953,0.684813572588837,0.034643032304422755,0.045181539877504874,5062565,1443742,722523,81.98657202720642,118.0,0.04560748487710953
mlp,episode,continuous,future_action_mean,1,0.9319048276487427,0.684813572588837,0.010301096183851534,0.045181539877504874,5062565,1443742,722523,81.98657202720642,118.0,0.04560748487710953
mlp,episode,continuous,future_action_mean,2,0.9132389435632458,0.684813572588837,0.017688317993721992,0.045181539877504874,5062565,1443742,722523,81.98657202720642,118.0,0.04560748487710953
mlp,episode,continuous,future_action_mean,3,0.5399857791240407,0.684813572588837,0.0008669533026993168,0.045181539877504874,5062565,1443742,722523,81.98657202720642,118.0,0.04560748487710953
mlp,episode,continuous,future_action_mean,4,0.38172690515863783,0.684813572588837,0.004475901535246584,0.045181539877504874,5062565,1443742,722523,81.98657202720642,118.0,0.04560748487710953
mlp,episode,continuous,future_action_mean,5,0.5442858171538523,0.684813572588837,0.0026385422951388494,0.045181539877504874,5062565,1443742,722523,81.98657202720642,118.0,0.04560748487710953
mlp,episode,continuous,future_action_mean,6,0.7421177851293874,0.684813572588837,0.24565693552745307,0.045181539877504874,5062565,1443742,722523,81.98657202720642,118.0,0.04560748487710953
ridge,episode,continuous,current_action,0,0.5154266882759864,0.43798295653227903,0.06712022679424536,0.1286347102651523,5062565,1443742,722523,0.9534139633178711,,
ridge,episode,continuous,current_action,1,0.845411968929095,0.43798295653227903,0.024006816684244963,0.1286347102651523,5062565,1443742,722523,0.9534139633178711,,
ridge,episode,continuous,current_action,2,0.7757701699543187,0.43798295653227903,0.046780949679917895,0.1286347102651523,5062565,1443742,722523,0.9534139633178711,,
ridge,episode,continuous,current_action,3,0.4250543706020935,0.43798295653227903,0.001121166244453533,0.1286347102651523,5062565,1443742,722523,0.9534139633178711,,
ridge,episode,continuous,current_action,4,0.13796346747191268,0.43798295653227903,0.006335192436914963,0.1286347102651523,5062565,1443742,722523,0.9534139633178711,,
ridge,episode,continuous,current_action,5,0.11625019258430225,0.43798295653227903,0.005116326927355909,0.1286347102651523,5062565,1443742,722523,0.9534139633178711,,
ridge,episode,continuous,current_action,6,0.25000383790824443,0.43798295653227903,0.7499622930889334,0.1286347102651523,5062565,1443742,722523,0.9534139633178711,,
ridge,episode,continuous,future_action_mean,0,0.4265909240171336,0.3970892778306697,0.0765304464882561,0.1265561428167108,5062565,1443742,722523,0.036836862564086914,,
ridge,episode,continuous,future_action_mean,1,0.780753369179193,0.3970892778306697,0.03316653081396924,0.1265561428167108,5062565,1443742,722523,0.036836862564086914,,
ridge,episode,continuous,future_action_mean,2,0.7776191632748062,0.3970892778306697,0.04533765628560106,0.1265561428167108,5062565,1443742,722523,0.036836862564086914,,
ridge,episode,continuous,future_action_mean,3,0.3365253648790879,0.3970892778306697,0.0012503994443476114,0.1265561428167108,5062565,1443742,722523,0.036836862564086914,,
ridge,episode,continuous,future_action_mean,4,0.101619197382258,0.3970892778306697,0.006503702081204977,0.1265561428167108,5062565,1443742,722523,0.036836862564086914,,
ridge,episode,continuous,future_action_mean,5,0.11019869919178238,0.3970892778306697,0.005151865916897905,0.1265561428167108,5062565,1443742,722523,0.036836862564086914,,
ridge,episode,continuous,future_action_mean,6,0.24631822689042715,0.3970892778306697,0.7179523986866987,0.1265561428167108,5062565,1443742,722523,0.036836862564086914,,
