probe_model,split_mode,feature_set,target,action_dim,r2,avg_r2_for_target,mse,avg_mse_for_target,n_train,n_test,n_val,train_seconds,epochs,best_val_mse
mlp,episode,continuous,current_action,0,0.6161939473426433,0.5940900368620293,0.05316254254224795,0.07268616236239463,5062565,1443742,722523,64.81445097923279,90.0,0.0728391483426094
mlp,episode,continuous,current_action,1,0.9387585508208253,0.5940900368620293,0.009510517947198696,0.07268616236239463,5062565,1443742,722523,64.81445097923279,90.0,0.0728391483426094
mlp,episode,continuous,current_action,2,0.8782434152178096,0.5940900368620293,0.02540201125217777,0.07268616236239463,5062565,1443742,722523,64.81445097923279,90.0,0.0728391483426094
mlp,episode,continuous,current_action,3,0.49138230184577836,0.5940900368620293,0.0009918242097071686,0.07268616236239463,5062565,1443742,722523,64.81445097923279,90.0,0.0728391483426094
mlp,episode,continuous,current_action,4,0.27541659531555096,0.5940900368620293,0.005325035694031274,0.07268616236239463,5062565,1443742,722523,64.81445097923279,90.0,0.0728391483426094
mlp,episode,continuous,current_action,5,0.3694145298734033,0.5940900368620293,0.003650672841720367,0.07268616236239463,5062565,1443742,722523,64.81445097923279,90.0,0.0728391483426094
mlp,episode,continuous,current_action,6,0.5892209176181943,0.5940900368620293,0.4107605320496791,0.07268616236239463,5062565,1443742,722523,64.81445097923279,90.0,0.0728391483426094
mlp,episode,continuous,future_action_mean,0,0.5665775905009899,0.5724700934522519,0.05784702737765202,0.06990336407286375,5062565,1443742,722523,61.12237334251404,90.0,0.07000914961099625
mlp,episode,continuous,future_action_mean,1,0.9128062517036994,0.5724700934522519,0.013190232975658939,0.06990336407286375,5062565,1443742,722523,61.12237334251404,90.0,0.07000914961099625
mlp,episode,continuous,future_action_mean,2,0.8837068978331946,0.5724700934522519,0.02370913236980186,0.06990336407286375,5062565,1443742,722523,61.12237334251404,90.0,0.07000914961099625
mlp,episode,continuous,future_action_mean,3,0.4210905744417005,0.5724700934522519,0.0010910259197983872,0.06990336407286375,5062565,1443742,722523,61.12237334251404,90.0,0.07000914961099625
mlp,episode,continuous,future_action_mean,4,0.23191636845961316,0.5724700934522519,0.005560433947868108,0.06990336407286375,5062565,1443742,722523,61.12237334251404,90.0,0.07000914961099625
mlp,episode,continuous,future_action_mean,5,0.39474528000473375,0.5724700934522519,0.003504367952882183,0.06990336407286375,5062565,1443742,722523,61.12237334251404,90.0,0.07000914961099625
mlp,episode,continuous,future_action_mean,6,0.5964476912218313,0.5724700934522519,0.3844213279663848,0.06990336407286375,5062565,1443742,722523,61.12237334251404,90.0,0.07000914961099625
ridge,episode,continuous,current_action,0,0.29753743455097315,0.3704709794569312,0.097300956463446,0.14179069603680586,5062565,1443742,722523,1.0248942375183105,,
ridge,episode,continuous,current_action,1,0.885174809294952,0.3704709794569312,0.017831828796145217,0.14179069603680586,5062565,1443742,722523,1.0248942375183105,,
ridge,episode,continuous,current_action,2,0.7582975462207717,0.3704709794569312,0.050426253837213456,0.14179069603680586,5062565,1443742,722523,1.0248942375183105,,
ridge,episode,continuous,current_action,3,0.2974881876162494,0.3704709794569312,0.0013699252417995727,0.14179069603680586,5062565,1443742,722523,1.0248942375183105,,
ridge,episode,continuous,current_action,4,0.13469759177978358,0.3704709794569312,0.006359193683038494,0.14179069603680586,5062565,1443742,722523,1.0248942375183105,,
ridge,episode,continuous,current_action,5,0.03379103539291506,0.3704709794569312,0.005593710914096537,0.14179069603680586,5062565,1443742,722523,1.0248942375183105,,
ridge,episode,continuous,current_action,6,0.18631025134287327,0.3704709794569312,0.8136530033219016,0.14179069603680586,5062565,1443742,722523,1.0248942375183105,,
ridge,episode,continuous,future_action_mean,0,0.2286091756634514,0.3392651603056038,0.10295422007792562,0.1375426067351039,5062565,1443742,722523,0.03974580764770508,,
ridge,episode,continuous,future_action_mean,1,0.8317128143262127,0.3392651603056038,0.025457641507876418,0.1375426067351039,5062565,1443742,722523,0.03974580764770508,,
ridge,episode,continuous,future_action_mean,2,0.779585394167824,0.3392651603056038,0.044936793056023716,0.1375426067351039,5062565,1443742,722523,0.03974580764770508,,
ridge,episode,continuous,future_action_mean,3,0.23408696387300132,0.3392651603056038,0.0014434571935327408,0.1375426067351039,5062565,1443742,722523,0.03974580764770508,,
ridge,episode,continuous,future_action_mean,4,0.08156507890455056,0.3392651603056038,0.006648881065105964,0.1375426067351039,5062565,1443742,722523,0.03974580764770508,,
ridge,episode,continuous,future_action_mean,5,0.03366528287592485,0.3392651603056038,0.005594987205508392,0.1375426067351039,5062565,1443742,722523,0.03974580764770508,,
ridge,episode,continuous,future_action_mean,6,0.18563141232826108,0.3392651603056038,0.7757622670397544,0.1375426067351039,5062565,1443742,722523,0.03974580764770508,,
