probe_model,split_mode,feature_set,target,action_dim,r2,avg_r2_for_target,mse,avg_mse_for_target,n_train,n_test,n_val,train_seconds,epochs,best_val_mse
mlp,episode,continuous,current_action,0,0.6600681554388553,0.5514386308379049,0.069239242826698,0.08267499989718119,2180590,623933,315038,23.331117868423462,74.0,0.08158987015485764
mlp,episode,continuous,current_action,1,0.8831121084725837,0.5514386308379049,0.02647139236793032,0.08267499989718119,2180590,623933,315038,23.331117868423462,74.0,0.08158987015485764
mlp,episode,continuous,current_action,2,0.8158505065207152,0.5514386308379049,0.026938604756151688,0.08267499989718119,2180590,623933,315038,23.331117868423462,74.0,0.08158987015485764
mlp,episode,continuous,current_action,3,0.2332771209532778,0.5514386308379049,0.0037858873147791137,0.08267499989718119,2180590,623933,315038,23.331117868423462,74.0,0.08158987015485764
mlp,episode,continuous,current_action,4,0.28711149858667373,0.5514386308379049,0.006519395558743013,0.08267499989718119,2180590,623933,315038,23.331117868423462,74.0,0.08158987015485764
mlp,episode,continuous,current_action,5,0.40195823887595017,0.5514386308379049,0.0335992510783571,0.08267499989718119,2180590,623933,315038,23.331117868423462,74.0,0.08158987015485764
mlp,episode,continuous,current_action,6,0.5786927870172789,0.5514386308379049,0.4121712253776091,0.08267499989718119,2180590,623933,315038,23.331117868423462,74.0,0.08158987015485764
mlp,episode,continuous,future_action_mean,0,0.5592004045012238,0.5425110004798555,0.08246981005866015,0.07847080229957207,2180590,623933,315038,37.56772041320801,123.0,0.07745105028152466
mlp,episode,continuous,future_action_mean,1,0.8186112953825808,0.5425110004798555,0.03818530798118912,0.07847080229957207,2180590,623933,315038,37.56772041320801,123.0,0.07745105028152466
mlp,episode,continuous,future_action_mean,2,0.8186888591624131,0.5425110004798555,0.024242024424748345,0.07847080229957207,2180590,623933,315038,37.56772041320801,123.0,0.07745105028152466
mlp,episode,continuous,future_action_mean,3,0.2602583442387205,0.5425110004798555,0.001919983804280059,0.07847080229957207,2180590,623933,315038,37.56772041320801,123.0,0.07745105028152466
mlp,episode,continuous,future_action_mean,4,0.3059336319179128,0.5425110004798555,0.004588744029156519,0.07847080229957207,2180590,623933,315038,37.56772041320801,123.0,0.07745105028152466
mlp,episode,continuous,future_action_mean,5,0.42482386939592653,0.5425110004798555,0.028698439743620546,0.07847080229957207,2180590,623933,315038,37.56772041320801,123.0,0.07745105028152466
mlp,episode,continuous,future_action_mean,6,0.6100605987602108,0.5425110004798555,0.3691913060553498,0.07847080229957207,2180590,623933,315038,37.56772041320801,123.0,0.07745105028152466
ridge,episode,continuous,current_action,0,0.4956894542228363,0.38421562172796403,0.10272082741824091,0.14477401321157604,2180590,623933,315038,1.0200984477996826,,
ridge,episode,continuous,current_action,1,0.762240883655024,0.38421562172796403,0.05384488312327908,0.14477401321157604,2180590,623933,315038,1.0200984477996826,,
ridge,episode,continuous,current_action,2,0.7339367067848632,0.38421562172796403,0.03892149666351882,0.14477401321157604,2180590,623933,315038,1.0200984477996826,,
ridge,episode,continuous,current_action,3,0.128200676582076,0.38421562172796403,0.004304728722409503,0.14477401321157604,2180590,623933,315038,1.0200984477996826,,
ridge,episode,continuous,current_action,4,0.17822761583857227,0.38421562172796403,0.007515143281141889,0.14477401321157604,2180590,623933,315038,1.0200984477996826,,
ridge,episode,continuous,current_action,5,0.16737753365708818,0.38421562172796403,0.04677849126715679,0.14477401321157604,2180590,623933,315038,1.0200984477996826,,
ridge,episode,continuous,current_action,6,0.22383648135528855,0.38421562172796403,0.7593325220052852,0.14477401321157604,2180590,623933,315038,1.0200984477996826,,
ridge,episode,continuous,future_action_mean,0,0.3442215689040313,0.34441433417078066,0.12269049973118872,0.14305835049451263,2180590,623933,315038,0.016623735427856445,,
ridge,episode,continuous,future_action_mean,1,0.6639212321247592,0.34441433417078066,0.07075011249637778,0.14305835049451263,2180590,623933,315038,0.016623735427856445,,
ridge,episode,continuous,future_action_mean,2,0.7118760055748976,0.34441433417078066,0.038523329994741375,0.14305835049451263,2180590,623933,315038,0.016623735427856445,,
ridge,episode,continuous,future_action_mean,3,0.12348983570820171,0.34441433417078066,0.0022749635722422896,0.14305835049451263,2180590,623933,315038,0.016623735427856445,,
ridge,episode,continuous,future_action_mean,4,0.16085151588729585,0.34441433417078066,0.005547938602310292,0.14305835049451263,2180590,623933,315038,0.016623735427856445,,
ridge,episode,continuous,future_action_mean,5,0.16706929623007094,0.34441433417078066,0.04155911614003872,0.14305835049451263,2180590,623933,315038,0.016623735427856445,,
ridge,episode,continuous,future_action_mean,6,0.23947088476620793,0.34441433417078066,0.7200624929246893,0.14305835049451263,2180590,623933,315038,0.016623735427856445,,
