probe_model,split_mode,feature_set,target,action_dim,r2,avg_r2_for_target,mse,avg_mse_for_target,n_train,n_test,n_val,train_seconds,epochs,best_val_mse
mlp,episode,continuous,current_action,0,0.707869364398322,0.575759468737323,0.059502821930835406,0.0608549748706794,2180590,623933,315038,36.145729064941406,118.0,0.05880632996559143
mlp,episode,continuous,current_action,1,0.8897987888749062,0.575759468737323,0.024957071780435484,0.0608549748706794,2180590,623933,315038,36.145729064941406,118.0,0.05880632996559143
mlp,episode,continuous,current_action,2,0.8349835705185127,0.575759468737323,0.024139693724290485,0.0608549748706794,2180590,623933,315038,36.145729064941406,118.0,0.05880632996559143
mlp,episode,continuous,current_action,3,0.20396473175284247,0.575759468737323,0.003930624618794054,0.0608549748706794,2180590,623933,315038,36.145729064941406,118.0,0.05880632996559143
mlp,episode,continuous,current_action,4,0.2808091485157994,0.575759468737323,0.006577030817244509,0.0608549748706794,2180590,623933,315038,36.145729064941406,118.0,0.05880632996559143
mlp,episode,continuous,current_action,5,0.39163343542439066,0.575759468737323,0.0341793203746076,0.0608549748706794,2180590,623933,315038,36.145729064941406,118.0,0.05880632996559143
mlp,episode,continuous,current_action,6,0.7212572416764873,0.575759468737323,0.2726982608485483,0.0608549748706794,2180590,623933,315038,36.145729064941406,118.0,0.05880632996559143
mlp,episode,continuous,future_action_mean,0,0.6161030952547428,0.5584122662858563,0.0718238064184812,0.062475100623935145,2180590,623933,315038,24.643819093704224,80.0,0.06018085032701492
mlp,episode,continuous,future_action_mean,1,0.8304421276850633,0.5584122662858563,0.035694723045942234,0.062475100623935145,2180590,623933,315038,24.643819093704224,80.0,0.06018085032701492
mlp,episode,continuous,future_action_mean,2,0.8352163067464853,0.5584122662858563,0.02203223860485367,0.062475100623935145,2180590,623933,315038,24.643819093704224,80.0,0.06018085032701492
mlp,episode,continuous,future_action_mean,3,0.2227560332802907,0.5584122662858563,0.0020173202583008342,0.062475100623935145,2180590,623933,315038,24.643819093704224,80.0,0.06018085032701492
mlp,episode,continuous,future_action_mean,4,0.3033378024727631,0.5584122662858563,0.004605906072175625,0.062475100623935145,2180590,623933,315038,24.643819093704224,80.0,0.06018085032701492
mlp,episode,continuous,future_action_mean,5,0.38679100889637064,0.5584122662858563,0.030596091084224182,0.062475100623935145,2180590,623933,315038,24.643819093704224,80.0,0.06018085032701492
mlp,episode,continuous,future_action_mean,6,0.7142394896652782,0.5584122662858563,0.27055561888356827,0.062475100623935145,2180590,623933,315038,24.643819093704224,80.0,0.06018085032701492
ridge,episode,continuous,current_action,0,0.23991830872498487,0.2924011410445357,0.15481774253383251,0.1750708084502076,2180590,623933,315038,1.335350513458252,,
ridge,episode,continuous,current_action,1,0.7556298093647895,0.2924011410445357,0.05534208132938486,0.1750708084502076,2180590,623933,315038,1.335350513458252,,
ridge,episode,continuous,current_action,2,0.7102316635170494,0.2924011410445357,0.04238922703439246,0.1750708084502076,2180590,623933,315038,1.335350513458252,,
ridge,episode,continuous,current_action,3,0.07517427795974918,0.2924011410445357,0.004566559920328476,0.1750708084502076,2180590,623933,315038,1.335350513458252,,
ridge,episode,continuous,current_action,4,0.11522052393874938,0.2924011410445357,0.008091345806903849,0.1750708084502076,2180590,623933,315038,1.335350513458252,,
ridge,episode,continuous,current_action,5,0.07933604397215677,0.2924011410445357,0.051724848377196465,0.1750708084502076,2180590,623933,315038,1.335350513458252,,
ridge,episode,continuous,current_action,6,0.07129735983427066,0.2924011410445357,0.9085638541494147,0.1750708084502076,2180590,623933,315038,1.335350513458252,,
ridge,episode,continuous,future_action_mean,0,0.1533114962795482,0.26424483387907977,0.15840813102758552,0.171655784087422,2180590,623933,315038,0.016579627990722656,,
ridge,episode,continuous,future_action_mean,1,0.6585674878354854,0.26424483387907977,0.07187716379193468,0.171655784087422,2180590,623933,315038,0.016579627990722656,,
ridge,episode,continuous,future_action_mean,2,0.6861840342807045,0.26424483387907977,0.04195844927509309,0.171655784087422,2180590,623933,315038,0.016579627990722656,,
ridge,episode,continuous,future_action_mean,3,0.07682341940991122,0.26424483387907977,0.0023960852676324206,0.171655784087422,2180590,623933,315038,0.016579627990722656,,
ridge,episode,continuous,future_action_mean,4,0.12230520755252361,0.26424483387907977,0.005802783312198745,0.171655784087422,2180590,623933,315038,0.016579627990722656,,
ridge,episode,continuous,future_action_mean,5,0.0767848448693298,0.26424483387907977,0.04606386303285722,0.171655784087422,2180590,623933,315038,0.016579627990722656,,
ridge,episode,continuous,future_action_mean,6,0.07573734692605572,0.26424483387907977,0.8750840129046523,0.171655784087422,2180590,623933,315038,0.016579627990722656,,
