probe_model,split_mode,feature_set,target,action_dim,r2,avg_r2_for_target,mse,avg_mse_for_target,n_train,n_test,n_val,train_seconds,epochs,best_val_mse
mlp,episode,continuous,current_action,0,0.6876224006058691,0.5577336504775926,0.06362683815631984,0.07200152243516356,2180590,623933,315038,25.75809907913208,82.0,0.06960653513669968
mlp,episode,continuous,current_action,1,0.8881629785904017,0.5577336504775926,0.02532753081870514,0.07200152243516356,2180590,623933,315038,25.75809907913208,82.0,0.06960653513669968
mlp,episode,continuous,current_action,2,0.8284015955155147,0.5577336504775926,0.02510254852106775,0.07200152243516356,2180590,623933,315038,25.75809907913208,82.0,0.06960653513669968
mlp,episode,continuous,current_action,3,0.21163996666545293,0.5577336504775926,0.003892726213401836,0.07200152243516356,2180590,623933,315038,25.75809907913208,82.0,0.06960653513669968
mlp,episode,continuous,current_action,4,0.25799068413574755,0.5577336504775926,0.006785706641081924,0.07200152243516356,2180590,623933,315038,25.75809907913208,82.0,0.06960653513669968
mlp,episode,continuous,current_action,5,0.3825409887586557,0.5577336504775926,0.034690153260030845,0.07200152243516356,2180590,623933,315038,25.75809907913208,82.0,0.06960653513669968
mlp,episode,continuous,current_action,6,0.647776939071506,0.5577336504775926,0.34458515343553753,0.07200152243516356,2180590,623933,315038,25.75809907913208,82.0,0.06960653513669968
mlp,episode,continuous,future_action_mean,0,0.5936375088657169,0.5474314969299025,0.07602692425542698,0.07082701497354453,2180590,623933,315038,27.685171842575073,91.0,0.0682845339179039
mlp,episode,continuous,future_action_mean,1,0.8324177260272325,0.5474314969299025,0.03527882707655442,0.07082701497354453,2180590,623933,315038,27.685171842575073,91.0,0.0682845339179039
mlp,episode,continuous,future_action_mean,2,0.8306194999173441,0.5474314969299025,0.022646850056268618,0.07082701497354453,2180590,623933,315038,27.685171842575073,91.0,0.0682845339179039
mlp,episode,continuous,future_action_mean,3,0.24194900920688267,0.5474314969299025,0.001967505295674361,0.07082701497354453,2180590,623933,315038,27.685171842575073,91.0,0.0682845339179039
mlp,episode,continuous,future_action_mean,4,0.2810201569624796,0.5474314969299025,0.004753456749300543,0.07082701497354453,2180590,623933,315038,27.685171842575073,91.0,0.0682845339179039
mlp,episode,continuous,future_action_mean,5,0.39559772585754127,0.5474314969299025,0.030156679532524634,0.07082701497354453,2180590,623933,315038,27.685171842575073,91.0,0.0682845339179039
mlp,episode,continuous,future_action_mean,6,0.6567788516721207,0.5474314969299025,0.32495886184906214,0.07082701497354453,2180590,623933,315038,27.685171842575073,91.0,0.0682845339179039
ridge,episode,continuous,current_action,0,0.42492763665872546,0.33492564568644123,0.11713399507985045,0.16877703920168113,2180590,623933,315038,0.8532719612121582,,
ridge,episode,continuous,current_action,1,0.7800567179524952,0.33492564568644123,0.04981016289787598,0.16877703920168113,2180590,623933,315038,0.8532719612121582,,
ridge,episode,continuous,current_action,2,0.7215878833708069,0.33492564568644123,0.04072796415289152,0.16877703920168113,2180590,623933,315038,0.8532719612121582,,
ridge,episode,continuous,current_action,3,0.10123955088957592,0.33492564568644123,0.004437856070687291,0.16877703920168113,2180590,623933,315038,0.8532719612121582,,
ridge,episode,continuous,current_action,4,0.15551636015139048,0.33492564568644123,0.007722838676939336,0.16877703920168113,2180590,623933,315038,0.8532719612121582,,
ridge,episode,continuous,current_action,5,0.09192386050905432,0.33492564568644123,0.05101763821923597,0.16877703920168113,2180590,623933,315038,0.8532719612121582,,
ridge,episode,continuous,current_action,6,0.0692275102730403,0.33492564568644123,0.9105888193142874,0.16877703920168113,2180590,623933,315038,0.8532719612121582,,
ridge,episode,continuous,future_action_mean,0,0.26904504951733754,0.2933730671523295,0.13675537941347743,0.16764848085094805,2180590,623933,315038,0.0162198543548584,,
ridge,episode,continuous,future_action_mean,1,0.6822361706450849,0.2933730671523295,0.0668945164738456,0.16764848085094805,2180590,623933,315038,0.0162198543548584,,
ridge,episode,continuous,future_action_mean,2,0.7002607932225704,0.2933730671523295,0.040076330324687895,0.16764848085094805,2180590,623933,315038,0.0162198543548584,,
ridge,episode,continuous,future_action_mean,3,0.09938301919742398,0.2933730671523295,0.0023375323040596323,0.16764848085094805,2180590,623933,315038,0.0162198543548584,,
ridge,episode,continuous,future_action_mean,4,0.13707301923742066,0.2933730671523295,0.005705147537279934,0.16764848085094805,2180590,623933,315038,0.0162198543548584,,
ridge,episode,continuous,future_action_mean,5,0.09129850010687424,0.2933730671523295,0.04533970353086796,0.16764848085094805,2180590,623933,315038,0.0162198543548584,,
ridge,episode,continuous,future_action_mean,6,0.07431491813959501,0.2933730671523295,0.8764307563724181,0.16764848085094805,2180590,623933,315038,0.0162198543548584,,
