probe_model,split_mode,feature_set,target,action_dim,r2,avg_r2_for_target,mse,avg_mse_for_target,n_train,n_test,n_val,train_seconds,epochs,best_val_mse
mlp,episode,continuous,current_action,0,0.6050796776626691,0.5073165591995897,0.0804396073301507,0.10198377383294785,2180590,623933,315038,19.63438105583191,57.0,0.10091684013605118
mlp,episode,continuous,current_action,1,0.8681867476666492,0.5073165591995897,0.029851512215794556,0.10198377383294785,2180590,623933,315038,19.63438105583191,57.0,0.10091684013605118
mlp,episode,continuous,current_action,2,0.7940154534952366,0.5073165591995897,0.030132780597581035,0.10198377383294785,2180590,623933,315038,19.63438105583191,57.0,0.10091684013605118
mlp,episode,continuous,current_action,3,0.2196915483670503,0.5073165591995897,0.0038529695009558943,0.10198377383294785,2180590,623933,315038,19.63438105583191,57.0,0.10091684013605118
mlp,episode,continuous,current_action,4,0.253883840945905,0.5073165591995897,0.006823263896107406,0.10198377383294785,2180590,623933,315038,19.63438105583191,57.0,0.10091684013605118
mlp,episode,continuous,current_action,5,0.3481874648758435,0.5073165591995897,0.036620206894070494,0.10198377383294785,2180590,623933,315038,19.63438105583191,57.0,0.10091684013605118
mlp,episode,continuous,current_action,6,0.4621711813837741,0.5073165591995897,0.5261660763959748,0.10198377383294785,2180590,623933,315038,19.63438105583191,57.0,0.10091684013605118
mlp,episode,continuous,future_action_mean,0,0.4742981282875346,0.4794788010309844,0.09835429512713678,0.10134250099634776,2180590,623933,315038,12.223719596862793,33.0,0.10032474249601364
mlp,episode,continuous,future_action_mean,1,0.79741791039847,0.4794788010309844,0.04264686436359501,0.10134250099634776,2180590,623933,315038,12.223719596862793,33.0,0.10032474249601364
mlp,episode,continuous,future_action_mean,2,0.7931351817512182,0.4794788010309844,0.02765865326003448,0.10134250099634776,2180590,623933,315038,12.223719596862793,33.0,0.10032474249601364
mlp,episode,continuous,future_action_mean,3,0.23195761434200002,0.4794788010309844,0.0019934377494889295,0.10134250099634776,2180590,623933,315038,12.223719596862793,33.0,0.10032474249601364
mlp,episode,continuous,future_action_mean,4,0.24136478443194898,0.4794788010309844,0.005015633916055191,0.10134250099634776,2180590,623933,315038,12.223719596862793,33.0,0.10032474249601364
mlp,episode,continuous,future_action_mean,5,0.34751619944297596,0.4794788010309844,0.03255570952554697,0.10134250099634776,2180590,623933,315038,12.223719596862793,33.0,0.10032474249601364
mlp,episode,continuous,future_action_mean,6,0.47066178856274243,0.4794788010309844,0.5011729130325769,0.10134250099634776,2180590,623933,315038,12.223719596862793,33.0,0.10032474249601364
ridge,episode,continuous,current_action,0,0.40310884271165404,0.3273713438665763,0.12157817057107964,0.17222951631996025,2180590,623933,315038,1.091616153717041,,
ridge,episode,continuous,current_action,1,0.7395467472631088,0.3273713438665763,0.058984383725365054,0.17222951631996025,2180590,623933,315038,1.091616153717041,,
ridge,episode,continuous,current_action,2,0.689809564493207,0.3273713438665763,0.045376706627738,0.17222951631996025,2180590,623933,315038,1.091616153717041,,
ridge,episode,continuous,current_action,3,0.13814836428001165,0.3273713438665763,0.004255609509071533,0.17222951631996025,2180590,623933,315038,1.091616153717041,,
ridge,episode,continuous,current_action,4,0.17911976602426505,0.3273713438665763,0.007506984529883022,0.17222951631996025,2180590,623933,315038,1.091616153717041,,
ridge,episode,continuous,current_action,5,0.07829377840901752,0.3273713438665763,0.051783405061064866,0.17222951631996025,2180590,623933,315038,1.091616153717041,,
ridge,episode,continuous,current_action,6,0.06357234388476962,0.3273713438665763,0.9161213542155197,0.17222951631996025,2180590,623933,315038,1.091616153717041,,
ridge,episode,continuous,future_action_mean,0,0.246059553497604,0.281739902214434,0.14105576786711604,0.17118581900760027,2180590,623933,315038,0.01681804656982422,,
ridge,episode,continuous,future_action_mean,1,0.621029532195978,0.281739902214434,0.07977952132903764,0.17118581900760027,2180590,623933,315038,0.01681804656982422,,
ridge,episode,continuous,future_action_mean,2,0.6855067315734504,0.281739902214434,0.042049007354957084,0.17118581900760027,2180590,623933,315038,0.01681804656982422,,
ridge,episode,continuous,future_action_mean,3,0.13101460279980448,0.281739902214434,0.0022554331985850315,0.17118581900760027,2180590,623933,315038,0.01681804656982422,,
ridge,episode,continuous,future_action_mean,4,0.1457496125458888,0.281739902214434,0.0056477831877470895,0.17118581900760027,2180590,623933,315038,0.01681804656982422,,
ridge,episode,continuous,future_action_mean,5,0.07363923378741766,0.281739902214434,0.046220813443849255,0.17118581900760027,2180590,623933,315038,0.01681804656982422,,
ridge,episode,continuous,future_action_mean,6,0.0691800491008947,0.281739902214434,0.8812924066719096,0.17118581900760027,2180590,623933,315038,0.01681804656982422,,
