probe_model,split_mode,feature_set,target,action_dim,r2,avg_r2_for_target,mse,avg_mse_for_target,n_train,n_test,n_val,train_seconds,epochs,best_val_mse
mlp,episode,continuous,current_action,0,0.5863066771173036,0.504227753760154,0.08484108903247135,0.09912813679366643,2150630,615373,310758,29.131280660629272,96.0,0.0976378545165062
mlp,episode,continuous,current_action,1,0.8718010202477021,0.504227753760154,0.02890727526437969,0.09912813679366643,2150630,615373,310758,29.131280660629272,96.0,0.0976378545165062
mlp,episode,continuous,current_action,2,0.8049785315446568,0.504227753760154,0.02869541215967399,0.09912813679366643,2150630,615373,310758,29.131280660629272,96.0,0.0976378545165062
mlp,episode,continuous,current_action,3,0.21563099955499876,0.504227753760154,0.003877272515536717,0.09912813679366643,2150630,615373,310758,29.131280660629272,96.0,0.0976378545165062
mlp,episode,continuous,current_action,4,0.23564634695308728,0.504227753760154,0.006980729078300485,0.09912813679366643,2150630,615373,310758,29.131280660629272,96.0,0.0976378545165062
mlp,episode,continuous,current_action,5,0.3275706690516448,0.504227753760154,0.03821118694220882,0.09912813679366643,2150630,615373,310758,29.131280660629272,96.0,0.0976378545165062
mlp,episode,continuous,current_action,6,0.4876600318516846,0.504227753760154,0.502383992563094,0.09912813679366643,2150630,615373,310758,29.131280660629272,96.0,0.0976378545165062
mlp,episode,continuous,future_action_mean,0,0.4729564764061144,0.4842265752132206,0.09936526837340955,0.09708500641973854,2150630,615373,310758,24.987080097198486,79.0,0.09551186114549637
mlp,episode,continuous,future_action_mean,1,0.8116444213516643,0.4842265752132206,0.03956031478061939,0.09708500641973854,2150630,615373,310758,24.987080097198486,79.0,0.09551186114549637
mlp,episode,continuous,future_action_mean,2,0.8052733592103474,0.4842265752132206,0.026185006192140238,0.09708500641973854,2150630,615373,310758,24.987080097198486,79.0,0.09551186114549637
mlp,episode,continuous,future_action_mean,3,0.22022245119089645,0.4842265752132206,0.002029645572013364,0.09708500641973854,2150630,615373,310758,24.987080097198486,79.0,0.09551186114549637
mlp,episode,continuous,future_action_mean,4,0.24100438256313683,0.4842265752132206,0.005017041052333901,0.09708500641973854,2150630,615373,310758,24.987080097198486,79.0,0.09551186114549637
mlp,episode,continuous,future_action_mean,5,0.33799483108453243,0.4842265752132206,0.033421332450774444,0.09708500641973854,2150630,615373,310758,24.987080097198486,79.0,0.09551186114549637
mlp,episode,continuous,future_action_mean,6,0.5004901046858525,0.4842265752132206,0.47401643651687897,0.09708500641973854,2150630,615373,310758,24.987080097198486,79.0,0.09551186114549637
ridge,episode,continuous,current_action,0,0.3787473243248317,0.34614917683140056,0.12740779377665562,0.16629661706318238,2150630,615373,310758,1.8654441833496094,,
ridge,episode,continuous,current_action,1,0.8056011204358485,0.34614917683140056,0.04383452921002825,0.16629661706318238,2150630,615373,310758,1.8654441833496094,,
ridge,episode,continuous,current_action,2,0.7410998505904213,0.34614917683140056,0.038094505975941904,0.16629661706318238,2150630,615373,310758,1.8654441833496094,,
ridge,episode,continuous,current_action,3,0.16404263095137595,0.34614917683140056,0.004132282802270033,0.16629661706318238,2150630,615373,310758,1.8654441833496094,,
ridge,episode,continuous,current_action,4,0.14955976036674612,0.34614917683140056,0.007766945165368784,0.16629661706318238,2150630,615373,310758,1.8654441833496094,,
ridge,episode,continuous,current_action,5,0.09295361741002417,0.34614917683140056,0.05154343705013334,0.16629661706318238,2150630,615373,310758,1.8654441833496094,,
ridge,episode,continuous,current_action,6,0.09103993374055641,0.34614917683140056,0.8912968254618789,0.16629661706318238,2150630,615373,310758,1.8654441833496094,,
ridge,episode,continuous,future_action_mean,0,0.23089210251138115,0.30244370419600025,0.14500246985475332,0.16506134338052902,2150630,615373,310758,0.022552967071533203,,
ridge,episode,continuous,future_action_mean,1,0.708456086780331,0.30244370419600025,0.06123295663505209,0.16506134338052902,2150630,615373,310758,0.022552967071533203,,
ridge,episode,continuous,future_action_mean,2,0.7280661511944717,0.30244370419600025,0.036567104973156093,0.16506134338052902,2150630,615373,310758,0.022552967071533203,,
ridge,episode,continuous,future_action_mean,3,0.12809489454077483,0.30244370419600025,0.002269439969403876,0.16506134338052902,2150630,615373,310758,0.022552967071533203,,
ridge,episode,continuous,future_action_mean,4,0.13154741765469635,0.30244370419600025,0.005740563130450773,0.16506134338052902,2150630,615373,310758,0.022552967071533203,,
ridge,episode,continuous,future_action_mean,5,0.09518157212704936,0.30244370419600025,0.045679760378714476,0.16506134338052902,2150630,615373,310758,0.022552967071533203,,
ridge,episode,continuous,future_action_mean,6,0.09486770456329674,0.30244370419600025,0.8589371087221727,0.16506134338052902,2150630,615373,310758,0.022552967071533203,,
