benchmark,method,teacher_job,ckpt_step,probe,target,action_dim,dim_name,r2,n_train,n_test,source_dir,note
realworld,ours_multi,43524549,30000,mlp,current_action,0,dx,0.472344,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,mlp,current_action,1,dy,0.846036,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,mlp,current_action,2,dz,0.881056,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,mlp,current_action,3,droll,0.442083,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,mlp,current_action,4,dpitch,0.381155,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,mlp,current_action,5,dyaw,0.833656,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,mlp,current_action,6,gripper,0.481007,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,mlp,future_action_mean,0,dx,0.494107,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,mlp,future_action_mean,1,dy,0.854199,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,mlp,future_action_mean,2,dz,0.889332,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,mlp,future_action_mean,3,droll,0.452437,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,mlp,future_action_mean,4,dpitch,0.388698,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,mlp,future_action_mean,5,dyaw,0.84437,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,mlp,future_action_mean,6,gripper,0.480552,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,ridge,current_action,0,dx,0.304774,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,ridge,current_action,1,dy,0.593342,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,ridge,current_action,2,dz,0.698338,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,ridge,current_action,3,droll,0.353928,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,ridge,current_action,4,dpitch,0.238439,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,ridge,current_action,5,dyaw,0.622488,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,ridge,current_action,6,gripper,0.245341,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,ridge,future_action_mean,0,dx,0.338883,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,ridge,future_action_mean,1,dy,0.609277,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
realworld,ours_multi,43524549,30000,ridge,future_action_mean,2,dz,0.720504,119983,36067,sharedlam2full_dino768d6_ckpt030000_idx1_robot3cam_h5_probe,"front+side (multi-view) DINO768d6 LAM, 30k, sharedlam2"
