benchmark,method,arm_key,label,in_paper_table,is_reference,teacher_job,policy_job,mlp_r2,ridge_r2,mlp_r2_future,ridge_r2_future,sr,sr_alt,sr_paper,sr_source,probe_source_dir,note
libero,ours_single,libero_side_45408556,Ours (single-view),1,1,45408556,45408565,0.5259,0.3338,0.5056,0.3109,53.52,,53.5,eval_split/2026-09-05_tv_rollout_sqsh_45408565_..._ckpt070000_seed1000,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_45408556_ckpt070000,reference arm
libero,ours_single_front,libero_frontsv_45351533,"Ours (single-view, frontview)",0,0,45351533,45351537,0.5717,0.3716,0.5562,0.3478,62.65,,,eval_split/2026-09-03_rollout_sqsh_45351537_..._ckpt070000,probe_analysis/rlfv_libero_xemb_v1_lam1o5_sv_45351533_ckpt070000,frontview-only teacher; not a paper row
libero,ours_multi,libero_dual_t71_44161039,Ours (multi-view),1,0,44161039,44161096,0.6724,0.4740,0.6496,0.4408,62.38,,62.3,felix eval_split/2026-08-05_rollout_sqsh_44161096_..._ckpt070000,probe_analysis/libero_playdata_slices_lam1o5_lib90t71_44161039_ckpt070000,"slice probe, `all` slice"
libero,clam,libero_clam_45462812,CLAM-style,1,0,45462812,45462816,0.6822,0.4716,0.6717,0.4440,57.20,,57.2,eval_split/2026-09-06_clam_rollout_sqsh_45462816_..._ckpt070000_seed1000,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_clam_45462812_ckpt070000,
libero,laof,libero_flowbmse_45468967,LAOF-style,1,0,45468967,45468971,0.6130,0.3634,0.6002,0.3369,58.98,,58.8,eval_split/2026-09-07_tv_rollout_sqsh_45468971_..._ckpt070000_seed1000,probe_analysis/rlfv_libero_xemb_v1_lam1o5_flowbmse_45468967_ckpt070000,paper prints 58.8; eval gives 58.98
libero,dino,libero_dino_45461745,UniVLA-style (DINOv3),1,0,45461745,45461749,0.6054,0.4160,0.5816,0.3774,59.35,,59.3,eval_split/2026-09-06_tv_rollout_sqsh_45461749_..._ckpt070000_seed1000,probe_analysis/rlfv_libero_xemb_v1_lam1o5_side_dino_45461745_ckpt070000,
libero,lapa,libero_lapaft_45477499,Ours (LAPA-pretrained),1,0,45477499,45493220,0.6162,0.4361,0.5927,0.4094,59.98,,59.9,eval_split/2026-09-07_tvlapaft_rollout_sqsh_45493220_..._ckpt070000_seed1000,probe_analysis/rlfv_libero_xemb_v1_lapaft_side_45477499_ckpt070000,paper prints 59.9; eval gives 59.98
libero,villax_cont,libero_villax_prevq,villa-X (cont. latent),1,0,villa-X frozen,45461495,0.3594,0.2506,0.3441,0.2373,42.85,,43.8,eval_split/2026-09-06_tvvx_rollout_sqsh_45461495_..._villax_prevq_..._ckpt070000_seed1000,probe_analysis/libero_allemb_fourcam_fullfail_villax_side_2a50e03_labeled__prevq,paper prints 43.8 for cont. and 42.8 for VQ; evals give 42.85 (cont.) and 43.12 (VQ)
libero,villax_vq,libero_villax_vq,villa-X (VQ latent),1,0,villa-X frozen,45461515,0.2361,0.1069,0.2219,0.1021,43.12,,42.8,eval_split/2026-09-06_tvvx_rollout_sqsh_45461515_..._villax_vq_..._ckpt070000_seed1000,probe_analysis/libero_allemb_fourcam_fullfail_villax_side_2a50e03_labeled__vq,see cont. row
libero_plus,ours_single,lp_single_run3_44001862,Ours (single-view),1,1,44001862,44014455,0.5941,0.3705,0.5725,0.3393,62.10,,62.1,rlfv_libero_plus/results/lp_run3_single_44014455_060000_sweep/summary.json,probe_analysis/libero_plus_xemb_v1_n2_single_44001862_ckpt100000,reference arm
