slice,probe_model,split_mode,feature_set,target,mean_r2,mean_mse,n_train,n_test,n_val,train_seconds,epochs
all,mlp,episode,continuous,current_action,0.6724229703104311,0.05916059920569385,3289126,941386,476711,30.116721391677856,64.0
all,mlp,episode,continuous,future_action_mean,0.6496014604775724,0.05727382237179995,3289126,941386,476711,21.086920022964478,44.0
all,ridge,episode,continuous,current_action,0.4739513449572444,0.11999244593057949,3289126,941386,476711,0.9580984115600586,
all,ridge,episode,continuous,future_action_mean,0.4407630911770338,0.11746549341658134,3289126,941386,476711,0.030089378356933594,
eval_nonholdout,mlp,episode,continuous,current_action,0.6872242378755351,0.05359678520888573,917419,264212,130503,9.674485206604004,78.0
eval_nonholdout,mlp,episode,continuous,future_action_mean,0.6655758280076579,0.05211734930087124,917419,264212,130503,5.860407114028931,44.0
eval_nonholdout,ridge,episode,continuous,current_action,0.4597929545108351,0.12600651276979793,917419,264212,130503,0.00691533088684082,
eval_nonholdout,ridge,episode,continuous,future_action_mean,0.42577553855401284,0.12344855204288514,917419,264212,130503,0.006525754928588867,
eval_holdout,mlp,episode,continuous,current_action,0.788723702043281,0.024844600268245275,247859,69658,34998,4.2613842487335205,132.0
eval_holdout,mlp,episode,continuous,future_action_mean,0.7769906576832837,0.022619436719157497,247859,69658,34998,3.1352832317352295,93.0
eval_holdout,ridge,episode,continuous,current_action,0.5106100125589709,0.11353625790903203,247859,69658,34998,0.002129077911376953,
eval_holdout,ridge,episode,continuous,future_action_mean,0.47458738773678316,0.11151355095573591,247859,69658,34998,0.0018527507781982422,
play,mlp,episode,continuous,current_action,0.6825052793310757,0.05638449255320923,2132977,604816,304781,15.44132399559021,51.0
play,mlp,episode,continuous,future_action_mean,0.6685081071948967,0.052827427204428776,2132977,604816,304781,27.09066343307495,97.0
play,ridge,episode,continuous,current_action,0.4872971139279478,0.11362199695552307,2132977,604816,304781,0.016141414642333984,
play,ridge,episode,continuous,future_action_mean,0.4548511619481451,0.11111008215401445,2132977,604816,304781,0.015531539916992188,
