model,checkpoint,source,tsne_x,tsne_y
sharedlam2,001000,robot_3cam,33.95,0.91
sharedlam2,001000,robot_3cam,69.9,-39.91
sharedlam2,001000,robot_3cam,33.61,-26.07
sharedlam2,001000,robot_3cam,49.28,30.64
sharedlam2,001000,robot_3cam,3.55,-24.18
sharedlam2,001000,robot_3cam,78.23,-15.35
sharedlam2,001000,robot_3cam,78.53,-8.42
sharedlam2,001000,robot_3cam,14.44,-29.35
sharedlam2,001000,robot_3cam,37.0,-11.48
sharedlam2,001000,robot_3cam,55.17,-35.88
sharedlam2,001000,robot_3cam,55.04,-35.8
sharedlam2,001000,robot_3cam,28.38,6.63
sharedlam2,001000,robot_3cam,62.55,-3.69
sharedlam2,001000,robot_3cam,55.66,28.84
sharedlam2,001000,robot_3cam,80.33,-16.78
sharedlam2,001000,robot_3cam,44.55,-4.25
sharedlam2,001000,robot_3cam,41.57,-7.65
sharedlam2,001000,robot_3cam,41.02,7.61
sharedlam2,001000,robot_3cam,27.95,-10.86
sharedlam2,001000,robot_3cam,33.92,10.11
sharedlam2,001000,robot_3cam,42.55,14.65
sharedlam2,001000,robot_3cam,27.94,26.18
sharedlam2,001000,robot_3cam,64.77,-6.52
sharedlam2,001000,robot_3cam,83.09,16.06
sharedlam2,001000,robot_3cam,43.43,9.25
sharedlam2,001000,robot_3cam,13.62,-29.94
sharedlam2,001000,robot_3cam,37.69,-13.58
sharedlam2,001000,robot_3cam,78.7,-15.08
sharedlam2,001000,robot_3cam,72.46,-7.25
sharedlam2,001000,robot_3cam,72.6,-7.81
sharedlam2,001000,robot_3cam,62.76,7.21
sharedlam2,001000,robot_3cam,65.22,-21.54
sharedlam2,001000,robot_3cam,35.86,-24.7
sharedlam2,001000,robot_3cam,3.35,49.03
sharedlam2,001000,robot_3cam,46.4,-7.81
sharedlam2,001000,robot_3cam,45.93,-28.0
sharedlam2,001000,robot_3cam,31.44,10.39
sharedlam2,001000,robot_3cam,33.45,-27.39
sharedlam2,001000,robot_3cam,27.08,-10.21
sharedlam2,001000,robot_3cam,40.27,5.87
sharedlam2,001000,robot_3cam,59.35,25.95
sharedlam2,001000,robot_3cam,43.7,-8.19
sharedlam2,001000,robot_3cam,55.35,-21.37
sharedlam2,001000,robot_3cam,36.68,-14.76
sharedlam2,001000,robot_3cam,47.8,-13.1
sharedlam2,001000,robot_3cam,28.5,-26.2
sharedlam2,001000,robot_3cam,28.09,-10.43
sharedlam2,001000,robot_3cam,65.72,-28.74
sharedlam2,001000,robot_3cam,69.63,4.56
sharedlam2,001000,robot_3cam,62.75,10.18
sharedlam2,001000,robot_3cam,36.59,13.28
sharedlam2,001000,robot_3cam,27.94,41.6
sharedlam2,001000,robot_3cam,46.04,11.61
sharedlam2,001000,robot_3cam,15.45,-27.36
sharedlam2,001000,robot_3cam,16.29,-12.19
sharedlam2,001000,robot_3cam,59.33,18.96
sharedlam2,001000,robot_3cam,66.72,-23.31
sharedlam2,001000,robot_3cam,26.52,-17.71
sharedlam2,001000,robot_3cam,56.13,28.19
sharedlam2,001000,robot_3cam,42.97,12.57
sharedlam2,001000,robot_3cam,57.19,-36.79
sharedlam2,001000,robot_3cam,11.75,-9.82
sharedlam2,001000,robot_3cam,42.59,14.29
sharedlam2,001000,robot_3cam,50.74,-27.08
sharedlam2,001000,robot_3cam,67.86,-19.93
sharedlam2,001000,robot_3cam,36.26,11.51
sharedlam2,001000,robot_3cam,11.37,-26.15
sharedlam2,001000,robot_3cam,29.08,4.42
sharedlam2,001000,robot_3cam,73.79,-6.74
sharedlam2,001000,robot_3cam,28.86,-25.53
sharedlam2,001000,robot_3cam,-3.71,-33.82
sharedlam2,001000,robot_3cam,44.92,9.34
sharedlam2,001000,robot_3cam,33.08,-27.44
sharedlam2,001000,robot_3cam,52.39,25.17
sharedlam2,001000,robot_3cam,29.56,5.67
sharedlam2,001000,robot_3cam,5.84,-40.92
sharedlam2,001000,robot_3cam,48.11,-1.19
sharedlam2,001000,robot_3cam,3.73,-23.99
sharedlam2,001000,robot_3cam,49.18,0.01
sharedlam2,001000,robot_3cam,41.19,7.87
sharedlam2,001000,robot_3cam,47.66,0.95
sharedlam2,001000,robot_3cam,53.72,-28.51
sharedlam2,001000,robot_3cam,27.45,-11.7
sharedlam2,001000,robot_3cam,-0.75,-27.63
sharedlam2,001000,robot_3cam,35.33,12.71
sharedlam2,001000,robot_3cam,52.57,21.46
sharedlam2,001000,robot_3cam,55.5,-2.55
sharedlam2,001000,robot_3cam,59.57,-5.54
sharedlam2,001000,robot_3cam,77.6,-6.05
sharedlam2,001000,robot_3cam,25.84,-17.25
sharedlam2,001000,robot_3cam,50.42,31.1
sharedlam2,001000,robot_3cam,62.48,-2.61
sharedlam2,001000,robot_3cam,42.39,-28.42
sharedlam2,001000,robot_3cam,32.02,5.37
sharedlam2,001000,robot_3cam,50.65,30.82
sharedlam2,001000,robot_3cam,60.96,16.43
sharedlam2,001000,robot_3cam,9.18,-37.58
sharedlam2,001000,robot_3cam,64.53,5.64
sharedlam2,001000,robot_3cam,60.12,23.29
sharedlam2,001000,robot_3cam,61.6,3.6
sharedlam2,001000,robot_3cam,42.57,4.13
sharedlam2,001000,robot_3cam,65.33,-29.74
sharedlam2,001000,robot_3cam,32.11,8.5
sharedlam2,001000,robot_3cam,54.9,-36.0
sharedlam2,001000,robot_3cam,60.48,22.77
sharedlam2,001000,robot_3cam,27.89,-10.39
sharedlam2,001000,robot_3cam,47.61,-13.22
sharedlam2,001000,robot_3cam,69.96,24.06
sharedlam2,001000,robot_3cam,3.87,-29.09
sharedlam2,001000,robot_3cam,64.91,7.34
sharedlam2,001000,robot_3cam,46.58,-18.6
sharedlam2,001000,robot_3cam,28.86,-17.29
sharedlam2,001000,robot_3cam,50.21,0.25
sharedlam2,001000,robot_3cam,56.8,-32.04
sharedlam2,001000,robot_3cam,47.13,26.5
sharedlam2,001000,robot_3cam,62.29,-10.02
sharedlam2,001000,robot_3cam,62.14,19.68
sharedlam2,001000,robot_3cam,59.49,-15.13
sharedlam2,001000,robot_3cam,0.23,-29.41
sharedlam2,001000,robot_3cam,60.92,22.0
sharedlam2,001000,robot_3cam,49.19,0.06
sharedlam2,001000,robot_3cam,32.22,9.74
sharedlam2,001000,robot_3cam,16.28,-12.48
sharedlam2,001000,robot_3cam,77.16,-16.28
sharedlam2,001000,robot_3cam,-1.0,-26.94
sharedlam2,001000,robot_3cam,35.53,6.78
sharedlam2,001000,robot_3cam,62.38,20.57
sharedlam2,001000,robot_3cam,71.29,-4.13
sharedlam2,001000,robot_3cam,62.72,7.13
sharedlam2,001000,robot_3cam,61.71,18.46
sharedlam2,001000,robot_3cam,3.81,-29.9
sharedlam2,001000,robot_3cam,44.36,8.82
sharedlam2,001000,robot_3cam,38.77,-9.02
sharedlam2,001000,robot_3cam,27.96,1.4
sharedlam2,001000,robot_3cam,17.45,-12.55
sharedlam2,001000,robot_3cam,60.95,16.33
sharedlam2,001000,robot_3cam,67.59,25.16
sharedlam2,001000,robot_3cam,46.93,-1.2
sharedlam2,001000,robot_3cam,40.03,15.06
sharedlam2,001000,robot_3cam,67.54,-11.02
sharedlam2,001000,robot_3cam,40.87,-8.72
sharedlam2,001000,robot_3cam,54.83,-2.62
sharedlam2,001000,robot_3cam,9.19,-33.14
sharedlam2,001000,robot_3cam,16.0,-13.37
sharedlam2,001000,robot_3cam,40.2,-15.58
sharedlam2,001000,robot_3cam,65.02,24.93
sharedlam2,001000,robot_3cam,28.13,-10.42
sharedlam2,001000,robot_3cam,27.06,-26.06
sharedlam2,001000,robot_3cam,65.03,-21.21
sharedlam2,001000,robot_3cam,57.31,-37.83
sharedlam2,001000,robot_3cam,48.63,-7.99
sharedlam2,001000,robot_3cam,13.74,-29.62
sharedlam2,001000,robot_3cam,-2.04,-27.75
sharedlam2,001000,robot_3cam,36.31,-10.74
sharedlam2,001000,robot_3cam,34.15,-25.3
sharedlam2,001000,robot_3cam,61.32,-9.09
sharedlam2,001000,robot_3cam,36.91,-15.03
sharedlam2,001000,robot_3cam,36.59,-4.96
sharedlam2,001000,robot_3cam,11.78,-9.8
sharedlam2,001000,robot_3cam,39.71,19.1
sharedlam2,001000,robot_3cam,39.22,-17.12
sharedlam2,001000,robot_3cam,43.46,-8.38
sharedlam2,001000,robot_3cam,39.71,20.79
sharedlam2,001000,robot_3cam,30.13,-29.53
sharedlam2,001000,robot_3cam,35.18,-2.32
sharedlam2,001000,robot_3cam,31.89,17.17
sharedlam2,001000,robot_3cam,68.14,25.36
sharedlam2,001000,robot_3cam,34.48,0.82
sharedlam2,001000,robot_3cam,43.56,-8.29
sharedlam2,001000,robot_3cam,26.88,-43.88
sharedlam2,001000,robot_3cam,49.93,-3.17
sharedlam2,001000,robot_3cam,61.61,3.79
sharedlam2,001000,robot_3cam,16.26,-12.45
sharedlam2,001000,robot_3cam,59.86,5.9
sharedlam2,001000,robot_3cam,74.92,-11.22
sharedlam2,001000,robot_3cam,63.19,4.75
sharedlam2,001000,robot_3cam,50.9,-3.16
sharedlam2,001000,robot_3cam,68.42,-14.13
sharedlam2,001000,robot_3cam,31.97,9.64
sharedlam2,001000,robot_3cam,55.11,-35.92
sharedlam2,001000,robot_3cam,63.71,7.12
sharedlam2,001000,robot_3cam,28.01,-9.3
sharedlam2,001000,robot_3cam,70.51,-11.31
sharedlam2,001000,robot_3cam,45.47,-11.69
sharedlam2,001000,robot_3cam,16.69,-11.58
sharedlam2,001000,robot_3cam,18.93,-23.76
sharedlam2,001000,robot_3cam,43.49,9.18
sharedlam2,001000,robot_3cam,40.37,7.07
sharedlam2,001000,robot_3cam,66.27,-19.82
sharedlam2,001000,robot_3cam,43.51,-28.02
sharedlam2,001000,robot_3cam,70.49,29.57
sharedlam2,001000,robot_3cam,30.22,-25.71
sharedlam2,001000,robot_3cam,19.4,-3.62
sharedlam2,001000,robot_3cam,14.36,-5.59
sharedlam2,001000,robot_3cam,12.84,-28.3
sharedlam2,001000,robot_3cam,26.93,-20.54
sharedlam2,001000,robot_3cam,52.33,-1.37
sharedlam2,001000,robot_3cam,65.55,-28.85
sharedlam2,001000,robot_3cam,78.79,-10.28
sharedlam2,001000,robot_3cam,69.71,24.97
sharedlam2,001000,robot_3cam,49.9,-3.24
sharedlam2,001000,robot_3cam,29.0,4.28
sharedlam2,001000,robot_3cam,45.41,-23.78
sharedlam2,001000,robot_3cam,76.1,-7.87
sharedlam2,001000,robot_3cam,70.5,29.56
sharedlam2,001000,robot_3cam,43.75,-25.9
sharedlam2,001000,robot_3cam,59.45,26.09
sharedlam2,001000,robot_3cam,18.37,-11.79
sharedlam2,001000,robot_3cam,32.81,15.25
sharedlam2,001000,robot_3cam,62.5,1.35
sharedlam2,001000,robot_3cam,57.87,-33.24
sharedlam2,001000,robot_3cam,21.24,-19.4
sharedlam2,001000,robot_3cam,53.4,30.59
sharedlam2,001000,robot_3cam,59.22,5.59
sharedlam2,001000,robot_3cam,56.16,27.93
sharedlam2,001000,robot_3cam,3.46,-20.32
sharedlam2,001000,robot_3cam,17.82,-28.15
sharedlam2,001000,robot_3cam,44.87,14.05
sharedlam2,001000,robot_3cam,34.79,-1.55
sharedlam2,001000,robot_3cam,38.51,19.46
sharedlam2,001000,robot_3cam,20.25,0.63
sharedlam2,001000,robot_3cam,26.9,22.94
sharedlam2,001000,robot_3cam,57.33,-37.89
sharedlam2,001000,robot_3cam,45.44,9.64
sharedlam2,001000,robot_3cam,27.16,-8.53
sharedlam2,001000,robot_3cam,45.22,23.36
sharedlam2,001000,robot_3cam,14.39,-5.66
sharedlam2,001000,robot_3cam,39.93,-22.6
sharedlam2,001000,robot_3cam,89.5,-37.6
sharedlam2,001000,robot_3cam,16.28,-12.69
sharedlam2,001000,robot_3cam,3.42,49.28
sharedlam2,001000,robot_3cam,30.58,-24.5
sharedlam2,001000,robot_3cam,46.01,26.27
sharedlam2,001000,robot_3cam,64.86,5.05
sharedlam2,001000,robot_3cam,70.32,-39.48
sharedlam2,001000,robot_3cam,63.97,-28.46
sharedlam2,001000,robot_3cam,62.18,-1.69
sharedlam2,001000,robot_3cam,65.94,5.65
sharedlam2,001000,robot_3cam,35.89,-2.86
sharedlam2,001000,robot_3cam,50.17,23.41
sharedlam2,001000,robot_3cam,40.75,-4.52
sharedlam2,001000,robot_3cam,11.79,-9.8
sharedlam2,001000,robot_3cam,60.62,22.79
sharedlam2,001000,robot_3cam,41.07,-5.36
