model,model_label,view,source,tsne_x,tsne_y
sharedlam2,front+side,raw latent (8-D),robot_3cam,-41.75,-5.11
sharedlam2,front+side,raw latent (8-D),robot_3cam,-48.1,-13.42
sharedlam2,front+side,raw latent (8-D),robot_3cam,3.41,-45.82
sharedlam2,front+side,raw latent (8-D),robot_3cam,-49.31,-12.2
sharedlam2,front+side,raw latent (8-D),robot_3cam,20.37,-31.49
sharedlam2,front+side,raw latent (8-D),robot_3cam,-42.9,-9.91
sharedlam2,front+side,raw latent (8-D),robot_3cam,14.44,-48.52
sharedlam2,front+side,raw latent (8-D),robot_3cam,-60.35,-8.53
sharedlam2,front+side,raw latent (8-D),robot_3cam,-32.67,-14.68
sharedlam2,front+side,raw latent (8-D),robot_3cam,-16.85,-65.25
sharedlam2,front+side,raw latent (8-D),robot_3cam,-21.09,-48.3
sharedlam2,front+side,raw latent (8-D),robot_3cam,-34.91,-25.85
sharedlam2,front+side,raw latent (8-D),robot_3cam,5.96,-28.44
sharedlam2,front+side,raw latent (8-D),robot_3cam,-60.84,-2.74
sharedlam2,front+side,raw latent (8-D),robot_3cam,-12.82,-14.79
sharedlam2,front+side,raw latent (8-D),robot_3cam,20.52,-46.49
sharedlam2,front+side,raw latent (8-D),robot_3cam,-21.36,-1.54
sharedlam2,front+side,raw latent (8-D),robot_3cam,22.19,-38.4
sharedlam2,front+side,raw latent (8-D),robot_3cam,-14.29,-68.13
sharedlam2,front+side,raw latent (8-D),robot_3cam,-59.52,-13.53
sharedlam2,front+side,raw latent (8-D),robot_3cam,36.65,-34.67
sharedlam2,front+side,raw latent (8-D),robot_3cam,-35.01,-42.5
sharedlam2,front+side,raw latent (8-D),robot_3cam,-23.48,-31.1
sharedlam2,front+side,raw latent (8-D),robot_3cam,5.61,-66.41
sharedlam2,front+side,raw latent (8-D),robot_3cam,28.77,-40.65
sharedlam2,front+side,raw latent (8-D),robot_3cam,-14.45,3.33
sharedlam2,front+side,raw latent (8-D),robot_3cam,12.87,-47.15
sharedlam2,front+side,raw latent (8-D),robot_3cam,-27.83,5.08
sharedlam2,front+side,raw latent (8-D),robot_3cam,-24.99,-23.83
sharedlam2,front+side,raw latent (8-D),robot_3cam,-28.88,-71.3
sharedlam2,front+side,raw latent (8-D),robot_3cam,3.76,-28.06
sharedlam2,front+side,raw latent (8-D),robot_3cam,-23.36,-35.49
sharedlam2,front+side,raw latent (8-D),robot_3cam,28.82,-30.23
sharedlam2,front+side,raw latent (8-D),robot_3cam,-27.58,-68.87
sharedlam2,front+side,raw latent (8-D),robot_3cam,-46.31,-25.82
sharedlam2,front+side,raw latent (8-D),robot_3cam,5.96,-66.83
sharedlam2,front+side,raw latent (8-D),robot_3cam,16.21,-27.38
sharedlam2,front+side,raw latent (8-D),robot_3cam,-3.87,-27.5
