model,checkpoint,view,source,tsne_x,tsne_y
sharedlam2,030000,raw,robot_3cam,32.87,-60.01
sharedlam2,030000,raw,robot_3cam,4.86,-45.47
sharedlam2,030000,raw,robot_3cam,-12.39,-55.25
sharedlam2,030000,raw,robot_3cam,69.86,1.63
sharedlam2,030000,raw,robot_3cam,33.87,-8.78
sharedlam2,030000,raw,robot_3cam,75.13,-27.04
sharedlam2,030000,raw,robot_3cam,9.23,-8.14
sharedlam2,030000,raw,robot_3cam,-5.47,-18.66
sharedlam2,030000,raw,robot_3cam,23.73,-47.52
sharedlam2,030000,raw,robot_3cam,58.91,-27.55
sharedlam2,030000,raw,robot_3cam,12.56,-26.87
sharedlam2,030000,raw,robot_3cam,52.33,22.83
sharedlam2,030000,raw,robot_3cam,24.83,20.66
sharedlam2,030000,raw,robot_3cam,7.48,-56.28
sharedlam2,030000,raw,robot_3cam,16.82,-38.06
sharedlam2,030000,raw,robot_3cam,-13.27,-42.21
sharedlam2,030000,raw,robot_3cam,66.67,-34.36
sharedlam2,030000,raw,robot_3cam,60.31,1.02
sharedlam2,030000,raw,robot_3cam,-9.12,-49.74
sharedlam2,030000,raw,robot_3cam,43.65,-28.22
sharedlam2,030000,raw,robot_3cam,66.64,-29.56
sharedlam2,030000,raw,robot_3cam,3.09,-55.29
sharedlam2,030000,raw,robot_3cam,25.35,3.39
sharedlam2,030000,raw,robot_3cam,35.12,-43.04
sharedlam2,030000,raw,robot_3cam,6.58,-51.03
sharedlam2,030000,raw,robot_3cam,24.62,-39.36
sharedlam2,030000,raw,robot_3cam,57.78,-4.55
sharedlam2,030000,raw,robot_3cam,24.33,19.04
sharedlam2,030000,raw,robot_3cam,71.54,-21.53
sharedlam2,030000,raw,robot_3cam,25.57,-3.46
sharedlam2,030000,raw,robot_3cam,39.97,-37.85
sharedlam2,030000,raw,robot_3cam,67.05,-14.31
sharedlam2,030000,raw,robot_3cam,59.49,21.31
sharedlam2,030000,raw,robot_3cam,28.34,-63.07
sharedlam2,030000,raw,robot_3cam,39.21,8.33
sharedlam2,030000,raw,robot_3cam,48.61,18.12
sharedlam2,030000,raw,robot_3cam,23.8,15.76
sharedlam2,030000,raw,robot_3cam,63.31,16.87
sharedlam2,030000,raw,robot_3cam,56.04,13.55
sharedlam2,030000,raw,robot_3cam,4.37,-44.11
sharedlam2,030000,raw,robot_3cam,52.25,14.7
sharedlam2,030000,raw,robot_3cam,65.32,8.52
sharedlam2,030000,raw,robot_3cam,-3.0,-40.74
sharedlam2,030000,raw,robot_3cam,66.9,-28.47
sharedlam2,030000,raw,robot_3cam,7.23,-46.38
sharedlam2,030000,raw,robot_3cam,-3.63,-40.25
sharedlam2,030000,raw,robot_3cam,-1.31,-37.11
sharedlam2,030000,raw,robot_3cam,29.45,-45.97
sharedlam2,030000,raw,robot_3cam,32.55,-23.64
sharedlam2,030000,raw,robot_3cam,4.75,-0.11
sharedlam2,030000,raw,robot_3cam,7.62,-44.44
sharedlam2,030000,raw,robot_3cam,27.03,8.46
sharedlam2,030000,raw,robot_3cam,17.71,-27.69
sharedlam2,030000,raw,robot_3cam,51.9,11.48
sharedlam2,030000,raw,robot_3cam,-2.2,-29.57
sharedlam2,030000,raw,robot_3cam,13.63,8.47
sharedlam2,030000,raw,robot_3cam,5.38,-57.71
sharedlam2,030000,raw,robot_3cam,60.46,10.03
sharedlam2,030000,raw,robot_3cam,-9.22,-50.89
sharedlam2,030000,raw,robot_3cam,-5.26,-44.38
sharedlam2,030000,raw,robot_3cam,69.94,10.17
sharedlam2,030000,raw,robot_3cam,31.03,-58.25
sharedlam2,030000,raw,robot_3cam,47.46,25.55
sharedlam2,030000,raw,robot_3cam,-1.55,-64.05
sharedlam2,030000,raw,robot_3cam,55.79,-35.82
sharedlam2,030000,raw,robot_3cam,60.29,-16.79
sharedlam2,030000,raw,robot_3cam,51.73,-41.02
sharedlam2,030000,raw,robot_3cam,27.53,11.97
sharedlam2,030000,raw,robot_3cam,2.51,4.02
sharedlam2,030000,raw,robot_3cam,73.51,-27.36
sharedlam2,030000,raw,robot_3cam,33.67,-32.39
sharedlam2,030000,raw,robot_3cam,51.77,-46.96
sharedlam2,030000,raw,robot_3cam,70.69,-23.24
sharedlam2,030000,raw,robot_3cam,20.46,-59.35
sharedlam2,030000,raw,robot_3cam,49.56,2.31
sharedlam2,030000,raw,robot_3cam,72.32,-29.66
sharedlam2,030000,raw,robot_3cam,28.04,16.1
sharedlam2,030000,raw,robot_3cam,68.8,-13.09
sharedlam2,030000,raw,robot_3cam,74.13,1.08
sharedlam2,030000,raw,robot_3cam,56.62,-31.65
sharedlam2,030000,raw,robot_3cam,34.24,-26.65
sharedlam2,030000,raw,robot_3cam,-0.73,-6.92
sharedlam2,030000,raw,robot_3cam,-0.17,-55.14
sharedlam2,030000,raw,robot_3cam,44.33,-32.17
sharedlam2,030000,raw,robot_3cam,7.64,8.5
sharedlam2,030000,raw,robot_3cam,-8.64,-49.73
sharedlam2,030000,raw,robot_3cam,43.75,-28.01
sharedlam2,030000,raw,robot_3cam,-4.02,-39.4
sharedlam2,030000,raw,robot_3cam,36.1,-24.84
sharedlam2,030000,raw,robot_3cam,58.41,-1.35
sharedlam2,030000,raw,robot_3cam,19.35,-15.33
sharedlam2,030000,raw,robot_3cam,-9.4,-51.99
sharedlam2,030000,raw,robot_3cam,72.1,-3.65
sharedlam2,030000,raw,robot_3cam,7.73,6.15
sharedlam2,030000,raw,robot_3cam,-4.16,-61.95
sharedlam2,030000,raw,robot_3cam,58.27,25.11
sharedlam2,030000,raw,robot_3cam,45.73,-28.55
sharedlam2,030000,raw,robot_3cam,19.59,-22.41
sharedlam2,030000,raw,robot_3cam,55.01,-23.54
sharedlam2,030000,raw,robot_3cam,17.14,-47.36
sharedlam2,030000,raw,robot_3cam,-65.98,-38.28
sharedlam2,030000,raw,robot_3cam,52.22,-46.72
sharedlam2,030000,raw,robot_3cam,25.01,-64.08
sharedlam2,030000,raw,robot_3cam,-8.22,-59.45
sharedlam2,030000,raw,robot_3cam,44.12,-4.11
sharedlam2,030000,raw,robot_3cam,45.35,-32.07
sharedlam2,030000,raw,robot_3cam,16.65,-38.35
sharedlam2,030000,raw,robot_3cam,52.1,22.39
sharedlam2,030000,raw,robot_3cam,50.17,-35.05
sharedlam2,030000,raw,robot_3cam,21.28,-46.47
sharedlam2,030000,raw,robot_3cam,44.4,-56.88
sharedlam2,030000,raw,robot_3cam,24.47,-39.44
sharedlam2,030000,raw,robot_3cam,11.06,-43.75
sharedlam2,030000,raw,robot_3cam,69.85,-4.26
sharedlam2,030000,raw,robot_3cam,3.45,-55.53
sharedlam2,030000,raw,robot_3cam,17.63,-26.12
