teacher,n_emb,checkpoint,embodiment,tsne_x,tsne_y
xemb1iiwa,2,001000,franka,16.45,113.52
xemb1iiwa,2,001000,franka,-74.28,30.02
xemb1iiwa,2,001000,franka,-74.84,52.56
xemb1iiwa,2,001000,franka,-96.56,-11.42
xemb1iiwa,2,001000,franka,6.26,115.38
xemb1iiwa,2,001000,franka,96.51,-32.82
xemb1iiwa,2,001000,franka,13.0,112.05
xemb1iiwa,2,001000,franka,78.48,-36.0
xemb1iiwa,2,001000,franka,10.76,108.9
xemb1iiwa,2,001000,franka,20.44,108.81
xemb1iiwa,2,001000,franka,-100.01,-15.15
xemb1iiwa,2,001000,franka,79.13,-35.71
xemb1iiwa,2,001000,franka,-82.86,33.0
xemb1iiwa,2,001000,franka,52.03,-79.87
xemb1iiwa,2,001000,franka,-85.9,-3.72
xemb1iiwa,2,001000,franka,73.46,-39.51
xemb1iiwa,2,001000,franka,82.43,-42.42
xemb1iiwa,2,001000,franka,-65.97,-1.62
xemb1iiwa,2,001000,franka,-94.86,-14.93
xemb1iiwa,2,001000,franka,21.77,109.81
xemb1iiwa,2,001000,franka,-85.98,-14.85
xemb1iiwa,2,001000,franka,-72.82,49.41
xemb1iiwa,2,001000,franka,-75.47,53.04
xemb1iiwa,2,001000,franka,-79.77,-3.71
xemb1iiwa,2,001000,franka,-57.71,21.86
xemb1iiwa,2,001000,franka,-62.18,0.24
xemb1iiwa,2,001000,franka,71.05,-41.81
xemb1iiwa,2,001000,franka,-94.81,-14.76
xemb1iiwa,2,001000,franka,-88.81,6.02
xemb1iiwa,2,001000,franka,-63.43,2.8
xemb1iiwa,2,001000,franka,19.46,108.6
xemb1iiwa,2,001000,franka,69.76,-40.27
xemb1iiwa,2,001000,franka,-57.19,-0.78
xemb1iiwa,2,001000,franka,82.37,-19.05
xemb1iiwa,2,001000,franka,-81.93,35.89
xemb1iiwa,2,001000,franka,75.85,-46.87
xemb1iiwa,2,001000,franka,-71.71,20.57
xemb1iiwa,2,001000,franka,-99.47,-8.78
xemb1iiwa,2,001000,franka,7.25,114.76
xemb1iiwa,2,001000,franka,-99.59,-9.08
xemb1iiwa,2,001000,franka,61.63,-34.22
xemb1iiwa,2,001000,franka,-85.75,-4.45
xemb1iiwa,2,001000,franka,76.73,-48.73
xemb1iiwa,2,001000,franka,76.43,-41.92
xemb1iiwa,2,001000,franka,-100.48,-11.22
xemb1iiwa,2,001000,franka,-101.35,-12.24
xemb1iiwa,2,001000,franka,-67.14,16.98
xemb1iiwa,2,001000,franka,-82.69,40.94
xemb1iiwa,2,001000,franka,-72.74,27.52
xemb1iiwa,2,001000,franka,53.2,-75.91
xemb1iiwa,2,001000,franka,-82.6,31.9
xemb1iiwa,2,001000,franka,57.24,-35.38
xemb1iiwa,2,001000,franka,18.96,110.62
xemb1iiwa,2,001000,franka,75.34,-43.9
xemb1iiwa,2,001000,franka,-82.18,35.79
xemb1iiwa,2,001000,franka,-68.87,16.02
xemb1iiwa,2,001000,franka,47.77,90.95
xemb1iiwa,2,001000,franka,-63.81,16.5
xemb1iiwa,2,001000,franka,78.47,-47.05
xemb1iiwa,2,001000,franka,-98.58,-8.21
xemb1iiwa,2,001000,franka,81.19,-38.93
xemb1iiwa,2,001000,franka,63.84,-29.58
xemb1iiwa,2,001000,franka,11.84,110.78
xemb1iiwa,2,001000,franka,53.97,-78.7
xemb1iiwa,2,001000,franka,-66.89,24.78
xemb1iiwa,2,001000,franka,-90.77,33.43
xemb1iiwa,2,001000,franka,-64.87,-13.02
xemb1iiwa,2,001000,franka,-61.2,26.09
xemb1iiwa,2,001000,franka,76.99,-48.71
xemb1iiwa,2,001000,franka,-62.85,-17.35
xemb1iiwa,2,001000,franka,-74.06,30.86
xemb1iiwa,2,001000,franka,-69.16,16.24
xemb1iiwa,2,001000,franka,-53.5,-10.74
xemb1iiwa,2,001000,franka,-84.29,-3.22
xemb1iiwa,2,001000,franka,-100.27,-13.46
xemb1iiwa,2,001000,franka,-77.71,48.73
xemb1iiwa,2,001000,franka,70.06,-44.05
xemb1iiwa,2,001000,franka,50.58,90.38
xemb1iiwa,2,001000,franka,67.83,-34.24
xemb1iiwa,2,001000,franka,-89.59,22.86
xemb1iiwa,2,001000,franka,9.84,115.5
xemb1iiwa,2,001000,franka,76.73,-44.25
xemb1iiwa,2,001000,franka,14.83,113.05
xemb1iiwa,2,001000,franka,-104.14,7.98
xemb1iiwa,2,001000,franka,77.17,-48.74
xemb1iiwa,2,001000,franka,78.51,-46.94
xemb1iiwa,2,001000,franka,-88.29,-15.05
xemb1iiwa,2,001000,franka,10.92,112.36
xemb1iiwa,2,001000,franka,53.94,-83.0
xemb1iiwa,2,001000,franka,10.97,112.05
xemb1iiwa,2,001000,franka,-74.39,21.71
xemb1iiwa,2,001000,franka,-94.51,7.35
xemb1iiwa,2,001000,franka,-95.17,-15.65
xemb1iiwa,2,001000,franka,71.9,-35.03
xemb1iiwa,2,001000,franka,-85.76,-4.03
xemb1iiwa,2,001000,franka,56.43,-82.55
xemb1iiwa,2,001000,franka,-84.77,20.01
xemb1iiwa,2,001000,franka,-79.68,13.18
xemb1iiwa,2,001000,franka,-67.24,17.32
xemb1iiwa,2,001000,franka,15.84,108.94
xemb1iiwa,2,001000,franka,50.64,-76.5
xemb1iiwa,2,001000,franka,-86.13,-3.46
xemb1iiwa,2,001000,franka,74.26,-41.18
xemb1iiwa,2,001000,franka,2.45,111.88
xemb1iiwa,2,001000,franka,-83.75,35.14
xemb1iiwa,2,001000,franka,57.44,-79.25
xemb1iiwa,2,001000,franka,80.31,-40.99
xemb1iiwa,2,001000,franka,53.53,-75.9
xemb1iiwa,2,001000,franka,-93.22,-13.1
xemb1iiwa,2,001000,franka,50.58,92.22
xemb1iiwa,2,001000,franka,-85.05,19.76
xemb1iiwa,2,001000,franka,-92.44,-8.96
xemb1iiwa,2,001000,franka,78.31,-46.81
xemb1iiwa,2,001000,franka,10.83,114.0
xemb1iiwa,2,001000,franka,-91.07,35.88
xemb1iiwa,2,001000,franka,19.61,109.15
xemb1iiwa,2,001000,franka,81.85,-40.07
xemb1iiwa,2,001000,franka,-60.67,26.67
xemb1iiwa,2,001000,franka,-98.26,11.94
xemb1iiwa,2,001000,franka,67.75,-36.02
xemb1iiwa,2,001000,franka,-69.38,30.8
xemb1iiwa,2,001000,franka,72.46,-38.35
xemb1iiwa,2,001000,franka,-62.28,-1.09
xemb1iiwa,2,001000,franka,-92.28,-8.82
xemb1iiwa,2,001000,franka,19.87,108.71
xemb1iiwa,2,001000,franka,62.08,-35.81
xemb1iiwa,2,001000,franka,-73.64,29.45
xemb1iiwa,2,001000,franka,-63.13,-14.56
xemb1iiwa,2,001000,franka,72.49,-34.23
xemb1iiwa,2,001000,franka,72.51,-37.18
xemb1iiwa,2,001000,franka,64.05,-32.3
xemb1iiwa,2,001000,franka,-59.28,-4.62
xemb1iiwa,2,001000,franka,-88.95,-15.05
xemb1iiwa,2,001000,franka,3.97,115.16
xemb1iiwa,2,001000,franka,81.74,-25.83
xemb1iiwa,2,001000,franka,55.84,-81.87
xemb1iiwa,2,001000,franka,-101.26,-11.57
xemb1iiwa,2,001000,franka,-60.89,26.61
xemb1iiwa,2,001000,franka,-96.98,14.54
xemb1iiwa,2,001000,franka,-82.84,37.23
xemb1iiwa,2,001000,franka,-52.17,-10.73
xemb1iiwa,2,001000,franka,7.03,109.63
xemb1iiwa,2,001000,franka,-60.02,-2.12
xemb1iiwa,2,001000,franka,-59.98,24.37
xemb1iiwa,2,001000,franka,-91.98,-8.95
xemb1iiwa,2,001000,franka,-91.47,35.57
xemb1iiwa,2,001000,franka,57.56,-79.49
xemb1iiwa,2,001000,franka,-64.46,33.58
xemb1iiwa,2,001000,franka,60.17,-34.75
xemb1iiwa,2,001000,franka,78.21,-48.28
xemb1iiwa,2,001000,franka,-56.52,-16.63
xemb1iiwa,2,001000,franka,74.75,-43.8
xemb1iiwa,2,001000,franka,10.27,114.26
xemb1iiwa,2,001000,franka,-68.87,21.44
xemb1iiwa,2,001000,franka,-92.32,5.92
xemb1iiwa,2,001000,franka,57.35,-31.53
xemb1iiwa,2,001000,franka,-59.32,-13.75
xemb1iiwa,2,001000,franka,-57.08,-2.29
xemb1iiwa,2,001000,franka,-85.17,12.18
xemb1iiwa,2,001000,franka,-94.78,6.5
xemb1iiwa,2,001000,franka,-96.32,11.37
xemb1iiwa,2,001000,franka,-59.04,21.44
xemb1iiwa,2,001000,franka,5.99,113.65
xemb1iiwa,2,001000,franka,-64.2,30.95
xemb1iiwa,2,001000,franka,-65.46,0.69
xemb1iiwa,2,001000,franka,9.87,115.55
xemb1iiwa,2,001000,franka,-64.52,0.27
xemb1iiwa,2,001000,franka,-83.24,35.59
xemb1iiwa,2,001000,franka,77.93,-31.3
xemb1iiwa,2,001000,franka,-55.17,-16.18
xemb1iiwa,2,001000,franka,48.97,89.1
xemb1iiwa,2,001000,franka,68.06,-32.08
xemb1iiwa,2,001000,franka,8.82,115.28
xemb1iiwa,2,001000,franka,79.05,-47.82
xemb1iiwa,2,001000,franka,-89.52,-11.17
xemb1iiwa,2,001000,franka,4.11,115.56
xemb1iiwa,2,001000,franka,-100.95,-11.94
xemb1iiwa,2,001000,franka,68.52,-34.64
xemb1iiwa,2,001000,franka,-81.09,39.72
xemb1iiwa,2,001000,franka,76.52,-38.37
xemb1iiwa,2,001000,franka,-57.35,27.19
xemb1iiwa,2,001000,franka,-68.69,32.97
xemb1iiwa,2,001000,franka,-64.7,2.65
xemb1iiwa,2,001000,franka,82.23,-42.73
xemb1iiwa,2,001000,franka,-69.89,18.24
xemb1iiwa,2,001000,franka,60.45,-26.66
xemb1iiwa,2,001000,franka,-82.16,13.14
xemb1iiwa,2,001000,franka,71.61,-35.23
xemb1iiwa,2,001000,franka,78.79,-31.65
xemb1iiwa,2,001000,franka,9.78,115.3
xemb1iiwa,2,001000,franka,51.27,-78.85
xemb1iiwa,2,001000,franka,-103.3,6.84
xemb1iiwa,2,001000,franka,-66.16,16.77
xemb1iiwa,2,001000,franka,64.43,-39.97
xemb1iiwa,2,001000,franka,-98.93,-10.97
xemb1iiwa,2,001000,franka,-85.53,-5.51
xemb1iiwa,2,001000,franka,61.77,-32.63
xemb1iiwa,2,001000,franka,62.67,-31.97
xemb1iiwa,2,001000,franka,72.29,-29.3
xemb1iiwa,2,001000,franka,-62.27,-1.43
xemb1iiwa,2,001000,franka,-73.75,29.34
xemb1iiwa,2,001000,franka,73.03,-38.25
xemb1iiwa,2,001000,franka,-97.94,-16.66
xemb1iiwa,2,001000,franka,-63.93,-13.81
xemb1iiwa,2,001000,franka,4.15,115.89
xemb1iiwa,2,001000,franka,-72.24,47.45
xemb1iiwa,2,001000,franka,-94.33,-13.26
xemb1iiwa,2,001000,franka,65.29,-33.83
xemb1iiwa,2,001000,franka,-61.8,25.94
xemb1iiwa,2,001000,franka,63.2,-38.23
xemb1iiwa,2,001000,franka,61.51,-37.34
xemb1iiwa,2,001000,franka,21.57,109.15
xemb1iiwa,2,001000,franka,-91.12,20.44
xemb1iiwa,2,001000,franka,-59.74,-15.81
xemb1iiwa,2,001000,franka,53.97,-81.69
xemb1iiwa,2,001000,franka,-99.4,-12.93
xemb1iiwa,2,001000,franka,68.09,-41.17
xemb1iiwa,2,001000,franka,-90.52,32.88
xemb1iiwa,2,001000,franka,4.1,115.78
xemb1iiwa,2,001000,franka,48.56,88.76
xemb1iiwa,2,001000,franka,-70.54,20.9
xemb1iiwa,2,001000,franka,-85.99,-7.11
xemb1iiwa,2,001000,franka,-74.14,17.61
xemb1iiwa,2,001000,franka,-61.81,-0.55
xemb1iiwa,2,001000,franka,-85.93,-3.85
xemb1iiwa,2,001000,franka,-57.78,-3.05
xemb1iiwa,2,001000,franka,-92.97,-13.16
xemb1iiwa,2,001000,franka,-63.43,29.04
xemb1iiwa,2,001000,franka,82.91,-18.66
xemb1iiwa,2,001000,franka,71.13,-41.42
xemb1iiwa,2,001000,franka,20.37,109.4
xemb1iiwa,2,001000,franka,65.67,-32.39
xemb1iiwa,2,001000,franka,-104.25,8.4
xemb1iiwa,2,001000,franka,58.72,-33.31
xemb1iiwa,2,001000,franka,-98.25,-13.1
xemb1iiwa,2,001000,franka,-64.34,-15.86
xemb1iiwa,2,001000,franka,-97.48,-16.76
xemb1iiwa,2,001000,franka,-57.52,21.3
xemb1iiwa,2,001000,franka,-68.58,17.2
xemb1iiwa,2,001000,franka,96.47,-23.4
xemb1iiwa,2,001000,franka,68.92,-29.75
xemb1iiwa,2,001000,franka,78.28,-47.31
xemb1iiwa,2,001000,franka,-68.29,22.34
xemb1iiwa,2,001000,franka,-79.95,-3.42
xemb1iiwa,2,001000,franka,-63.27,-13.4
xemb1iiwa,2,001000,franka,-73.87,51.29
xemb1iiwa,2,001000,franka,61.25,-25.94
xemb1iiwa,2,001000,franka,61.45,-26.72
xemb1iiwa,2,001000,franka,54.56,-76.44
xemb1iiwa,2,001000,franka,-57.24,26.52
xemb1iiwa,2,001000,franka,-80.45,40.21
xemb1iiwa,2,001000,franka,-96.91,14.73
xemb1iiwa,2,001000,franka,6.8,109.2
xemb1iiwa,2,001000,franka,64.92,-40.21
xemb1iiwa,2,001000,franka,79.63,-40.98
xemb1iiwa,2,001000,franka,-74.58,49.53
xemb1iiwa,2,001000,franka,-63.56,21.95
xemb1iiwa,2,001000,franka,77.28,-28.61
xemb1iiwa,2,001000,franka,-62.79,-13.99
xemb1iiwa,2,001000,franka,-94.34,-8.05
xemb1iiwa,2,001000,franka,-63.55,2.66
xemb1iiwa,2,001000,franka,68.31,-42.22
xemb1iiwa,2,001000,franka,-70.43,14.75
xemb1iiwa,2,001000,franka,20.0,108.86
xemb1iiwa,2,001000,franka,-62.4,25.6
xemb1iiwa,2,001000,franka,-80.08,13.16
xemb1iiwa,2,001000,franka,-101.5,6.67
xemb1iiwa,2,001000,franka,-68.78,21.48
xemb1iiwa,2,001000,franka,-90.41,13.25
xemb1iiwa,2,001000,franka,-92.67,-8.97
xemb1iiwa,2,001000,franka,11.65,110.48
xemb1iiwa,2,001000,franka,68.12,-41.74
xemb1iiwa,2,001000,franka,-89.91,9.56
xemb1iiwa,2,001000,franka,-60.56,-16.03
xemb1iiwa,2,001000,franka,-66.1,-3.65
xemb1iiwa,2,001000,franka,-81.59,16.21
xemb1iiwa,2,001000,franka,-65.78,16.81
xemb1iiwa,2,001000,franka,-63.55,-13.06
xemb1iiwa,2,001000,franka,65.28,-35.05
xemb1iiwa,2,001000,franka,-83.15,37.47
xemb1iiwa,2,001000,franka,-97.3,-12.89
xemb1iiwa,2,001000,franka,8.43,114.5
xemb1iiwa,2,001000,franka,-64.11,1.64
xemb1iiwa,2,001000,franka,48.51,90.4
xemb1iiwa,2,001000,franka,73.85,-39.24
xemb1iiwa,2,001000,franka,-55.99,-17.09
xemb1iiwa,2,001000,franka,60.93,-32.97
xemb1iiwa,2,001000,franka,80.46,-40.61
xemb1iiwa,2,001000,franka,-63.89,2.82
xemb1iiwa,2,001000,franka,-62.38,-7.25
xemb1iiwa,2,001000,franka,-86.34,-13.33
xemb1iiwa,2,001000,franka,5.5,111.0
xemb1iiwa,2,001000,franka,-63.21,-13.57
xemb1iiwa,2,001000,franka,54.87,-78.61
xemb1iiwa,2,001000,franka,-67.74,30.4
xemb1iiwa,2,001000,franka,57.68,-34.03
xemb1iiwa,2,001000,franka,-74.48,21.7
xemb1iiwa,2,001000,franka,18.81,109.65
xemb1iiwa,2,001000,franka,50.31,-78.12
xemb1iiwa,2,001000,franka,76.82,-40.13
xemb1iiwa,2,001000,franka,51.59,-78.57
xemb1iiwa,2,001000,franka,-86.91,19.1
xemb1iiwa,2,001000,franka,5.68,106.73
xemb1iiwa,2,001000,franka,66.39,-30.14
xemb1iiwa,2,001000,franka,-65.57,-0.44
xemb1iiwa,2,001000,franka,9.94,109.69
xemb1iiwa,2,001000,franka,-88.08,-5.73
xemb1iiwa,2,001000,franka,-56.44,-16.47
xemb1iiwa,2,001000,franka,-82.31,36.04
xemb1iiwa,2,001000,franka,-91.37,34.56
xemb1iiwa,2,001000,franka,83.26,-43.11
xemb1iiwa,2,001000,franka,49.22,87.55
xemb1iiwa,2,001000,franka,-58.41,21.22
xemb1iiwa,2,001000,franka,-62.31,-15.51
xemb1iiwa,2,001000,franka,11.43,109.79
xemb1iiwa,2,001000,franka,-95.07,-15.54
xemb1iiwa,2,001000,franka,-92.35,2.61
xemb1iiwa,2,001000,franka,-67.99,29.96
xemb1iiwa,2,001000,franka,-56.51,-15.77
xemb1iiwa,2,001000,franka,10.51,109.49
xemb1iiwa,2,001000,franka,-60.25,25.59
xemb1iiwa,2,001000,franka,68.52,-39.26
xemb1iiwa,2,001000,franka,19.53,110.31
xemb1iiwa,2,001000,franka,-91.09,34.08
xemb1iiwa,2,001000,franka,-91.19,-5.92
xemb1iiwa,2,001000,franka,78.52,-45.84
xemb1iiwa,2,001000,franka,57.75,-82.38
xemb1iiwa,2,001000,franka,82.76,-40.27
xemb1iiwa,2,001000,franka,-62.42,-5.67
xemb1iiwa,2,001000,franka,15.44,111.8
xemb1iiwa,2,001000,franka,-93.35,6.6
xemb1iiwa,2,001000,franka,74.65,-40.07
xemb1iiwa,2,001000,franka,73.65,-40.84
xemb1iiwa,2,001000,franka,51.73,-84.84
xemb1iiwa,2,001000,franka,-62.9,0.46
xemb1iiwa,2,001000,franka,-90.62,6.21
xemb1iiwa,2,001000,franka,62.0,-26.31
xemb1iiwa,2,001000,franka,-104.21,7.71
xemb1iiwa,2,001000,franka,56.15,-79.97
xemb1iiwa,2,001000,franka,62.36,-29.31
xemb1iiwa,2,001000,franka,65.42,-40.58
xemb1iiwa,2,001000,franka,-65.12,20.21
xemb1iiwa,2,001000,franka,-70.26,31.18
xemb1iiwa,2,001000,franka,69.37,-38.36
xemb1iiwa,2,001000,franka,-91.09,20.52
xemb1iiwa,2,001000,franka,21.44,109.24
xemb1iiwa,2,001000,franka,47.1,91.17
xemb1iiwa,2,001000,franka,51.45,-79.98
xemb1iiwa,2,001000,franka,76.27,-46.15
xemb1iiwa,2,001000,franka,55.54,-80.8
xemb1iiwa,2,001000,franka,64.06,-26.98
xemb1iiwa,2,001000,franka,51.83,-82.25
xemb1iiwa,2,001000,franka,-80.69,39.97
xemb1iiwa,2,001000,franka,-81.05,20.48
xemb1iiwa,2,001000,franka,55.41,-80.95
xemb1iiwa,2,001000,franka,77.01,-42.4
