family,model,checkpoint,group,n_per_group,chance,logreg_acc,knn15_acc,silhouette
libero,xemb1iiwa,001000,embodiment,2341,0.5,0.7794,0.8868,0.016
libero,xemb1iiwa,003000,embodiment,2341,0.5,0.7132,0.7238,0.0048
libero,xemb1iiwa,010000,embodiment,2341,0.5,0.5559,0.5886,0.0016
libero,xemb1iiwa,030000,embodiment,2341,0.5,0.5473,0.548,0.0006
libero,xemb1iiwa,070000,embodiment,2341,0.5,0.5452,0.5537,0.0009
libero,lib90t71,001000,embodiment,2341,0.3333,0.5714,0.7565,-0.0077
libero,lib90t71,003000,embodiment,2341,0.3333,0.4537,0.5567,-0.0066
libero,lib90t71,010000,embodiment,2341,0.3333,0.4324,0.4305,-0.0058
libero,lib90t71,030000,embodiment,2341,0.3333,0.3844,0.4115,-0.0074
libero,lib90t71,070000,embodiment,2341,0.3333,0.3764,0.3968,-0.0085
libero,xemb4all,001000,embodiment,2341,0.2,0.529,0.6976,-0.0168
libero,xemb4all,003000,embodiment,2341,0.2,0.5544,0.7104,-0.0168
libero,xemb4all,010000,embodiment,2341,0.2,0.3585,0.4214,-0.0177
libero,xemb4all,030000,embodiment,2341,0.2,0.2546,0.2944,-0.0272
libero,xemb4all,070000,embodiment,2341,0.2,0.2557,0.2978,-0.0273
dk1,sharedlam2,001000,source,2661,0.5,0.9593,0.9956,0.1262
dk1,sharedlam2,003000,source,2661,0.5,0.9662,0.9944,0.1154
dk1,sharedlam2,005000,source,2661,0.5,0.9981,0.9987,0.1386
dk1,sharedlam2,010000,source,2661,0.5,0.995,1.0,0.1794
dk1,sharedlam2,015000,source,2661,0.5,0.9912,1.0,0.1838
dk1,sharedlam2,020000,source,2661,0.5,0.985,0.9981,0.182
dk1,sharedlam2,025000,source,2661,0.5,0.9875,0.9987,0.1818
dk1,sharedlam2,030000,source,2661,0.5,0.9875,0.9925,0.1903
dk1,sharedlam3side,005000,source,2661,0.5,0.943,0.98,0.083
dk1,sharedlam3side,010000,source,2661,0.5,0.9662,0.9687,0.0869
dk1,sharedlam3side,015000,source,2661,0.5,0.9706,0.9843,0.0984
dk1,sharedlam3side,020000,source,2661,0.5,0.9681,0.9818,0.1027
dk1,sharedlam3side,025000,source,2661,0.5,0.9806,0.9843,0.1102
dk1,sharedlam3side,030000,source,2661,0.5,0.9743,0.9869,0.106
dk1,sharedlam4tl,005000,source,3432,0.5,0.965,0.9951,0.1166
dk1,sharedlam4tl,010000,source,3432,0.5,0.9932,0.9961,0.1578
dk1,sharedlam4tl,015000,source,3432,0.5,0.9971,0.9981,0.1844
dk1,sharedlam4tl,020000,source,3432,0.5,0.999,0.9981,0.1803
dk1,sharedlam4tl,025000,source,3432,0.5,0.9995,0.999,0.1903
dk1,sharedlam4tl,030000,source,3432,0.5,1.0,0.9995,0.1873
