model,checkpoint,source,umap_x,umap_y
sharedlam2,001000,robot_3cam,9.89,2.8
sharedlam2,001000,robot_3cam,12.39,1.67
sharedlam2,001000,robot_3cam,10.96,1.76
sharedlam2,001000,robot_3cam,12.23,3.14
sharedlam2,001000,robot_3cam,8.72,1.05
sharedlam2,001000,robot_3cam,10.05,3.24
sharedlam2,001000,robot_3cam,10.06,3.87
sharedlam2,001000,robot_3cam,9.5,1.16
sharedlam2,001000,robot_3cam,9.21,2.84
sharedlam2,001000,robot_3cam,11.56,1.43
sharedlam2,001000,robot_3cam,11.52,1.42
sharedlam2,001000,robot_3cam,10.95,2.68
sharedlam2,001000,robot_3cam,9.6,3.92
sharedlam2,001000,robot_3cam,12.46,3.25
sharedlam2,001000,robot_3cam,10.14,2.94
sharedlam2,001000,robot_3cam,8.88,3.08
sharedlam2,001000,robot_3cam,9.49,3.21
sharedlam2,001000,robot_3cam,11.49,2.33
sharedlam2,001000,robot_3cam,8.63,2.74
sharedlam2,001000,robot_3cam,11.33,2.57
sharedlam2,001000,robot_3cam,11.94,2.43
sharedlam2,001000,robot_3cam,11.68,5.69
sharedlam2,001000,robot_3cam,9.57,4.04
sharedlam2,001000,robot_3cam,11.45,4.31
sharedlam2,001000,robot_3cam,11.64,2.21
sharedlam2,001000,robot_3cam,9.4,0.79
sharedlam2,001000,robot_3cam,9.41,2.3
sharedlam2,001000,robot_3cam,9.93,3.19
sharedlam2,001000,robot_3cam,9.85,3.73
sharedlam2,001000,robot_3cam,9.97,3.73
sharedlam2,001000,robot_3cam,9.03,4.12
sharedlam2,001000,robot_3cam,10.05,2.93
sharedlam2,001000,robot_3cam,10.78,1.88
sharedlam2,001000,robot_3cam,8.18,13.72
sharedlam2,001000,robot_3cam,9.64,3.28
sharedlam2,001000,robot_3cam,9.59,2.06
sharedlam2,001000,robot_3cam,11.21,2.54
sharedlam2,001000,robot_3cam,11.48,2.03
sharedlam2,001000,robot_3cam,8.5,2.59
sharedlam2,001000,robot_3cam,11.44,2.33
sharedlam2,001000,robot_3cam,11.84,3.5
sharedlam2,001000,robot_3cam,9.6,3.02
sharedlam2,001000,robot_3cam,9.94,2.9
sharedlam2,001000,robot_3cam,9.29,3.09
sharedlam2,001000,robot_3cam,12.08,1.9
sharedlam2,001000,robot_3cam,9.41,1.15
sharedlam2,001000,robot_3cam,8.54,2.67
sharedlam2,001000,robot_3cam,10.41,2.46
sharedlam2,001000,robot_3cam,9.23,4.27
sharedlam2,001000,robot_3cam,9.01,4.19
sharedlam2,001000,robot_3cam,11.59,2.69
sharedlam2,001000,robot_3cam,11.29,6.8
sharedlam2,001000,robot_3cam,11.89,2.17
sharedlam2,001000,robot_3cam,9.7,1.25
sharedlam2,001000,robot_3cam,8.09,2.94
sharedlam2,001000,robot_3cam,11.57,3.57
sharedlam2,001000,robot_3cam,10.34,3.05
sharedlam2,001000,robot_3cam,8.85,1.43
sharedlam2,001000,robot_3cam,12.43,3.22
sharedlam2,001000,robot_3cam,11.8,2.33
sharedlam2,001000,robot_3cam,11.61,1.41
sharedlam2,001000,robot_3cam,8.08,2.78
sharedlam2,001000,robot_3cam,11.81,2.28
sharedlam2,001000,robot_3cam,9.75,2.44
sharedlam2,001000,robot_3cam,10.28,3.05
sharedlam2,001000,robot_3cam,11.49,2.5
sharedlam2,001000,robot_3cam,9.27,0.8
sharedlam2,001000,robot_3cam,11.0,2.73
sharedlam2,001000,robot_3cam,9.7,3.86
sharedlam2,001000,robot_3cam,9.09,1.29
sharedlam2,001000,robot_3cam,7.54,-1.73
