teacher,n_emb,checkpoint,embodiment,umap_x,umap_y
xemb1iiwa,2,001000,franka,2.27,22.99
xemb1iiwa,2,001000,franka,-3.77,9.4
xemb1iiwa,2,001000,franka,-2.71,9.57
xemb1iiwa,2,001000,franka,-5.79,5.44
xemb1iiwa,2,001000,franka,1.92,23.06
xemb1iiwa,2,001000,franka,10.64,24.95
xemb1iiwa,2,001000,franka,2.09,22.91
xemb1iiwa,2,001000,franka,11.46,24.93
xemb1iiwa,2,001000,franka,2.01,22.77
xemb1iiwa,2,001000,franka,2.68,22.85
xemb1iiwa,2,001000,franka,-5.86,5.29
xemb1iiwa,2,001000,franka,11.61,24.99
xemb1iiwa,2,001000,franka,-4.49,9.6
xemb1iiwa,2,001000,franka,7.73,-8.48
xemb1iiwa,2,001000,franka,-5.27,6.12
xemb1iiwa,2,001000,franka,11.55,25.31
xemb1iiwa,2,001000,franka,11.06,25.31
xemb1iiwa,2,001000,franka,7.09,-3.74
xemb1iiwa,2,001000,franka,-5.54,5.31
xemb1iiwa,2,001000,franka,2.68,22.86
xemb1iiwa,2,001000,franka,-5.23,5.59
xemb1iiwa,2,001000,franka,-2.79,9.49
xemb1iiwa,2,001000,franka,-2.7,9.62
xemb1iiwa,2,001000,franka,-5.14,5.84
xemb1iiwa,2,001000,franka,-3.81,10.39
xemb1iiwa,2,001000,franka,7.0,-3.71
xemb1iiwa,2,001000,franka,11.59,25.48
xemb1iiwa,2,001000,franka,-5.6,5.38
xemb1iiwa,2,001000,franka,-4.57,7.84
xemb1iiwa,2,001000,franka,6.97,-3.86
xemb1iiwa,2,001000,franka,2.66,22.83
xemb1iiwa,2,001000,franka,11.57,25.45
xemb1iiwa,2,001000,franka,7.25,-4.03
xemb1iiwa,2,001000,franka,11.63,24.46
xemb1iiwa,2,001000,franka,-4.41,9.84
xemb1iiwa,2,001000,franka,11.27,25.61
xemb1iiwa,2,001000,franka,-4.24,9.42
xemb1iiwa,2,001000,franka,-5.86,5.48
xemb1iiwa,2,001000,franka,1.91,23.06
xemb1iiwa,2,001000,franka,-5.91,5.42
xemb1iiwa,2,001000,franka,12.19,25.33
xemb1iiwa,2,001000,franka,-5.28,6.12
xemb1iiwa,2,001000,franka,11.18,25.64
xemb1iiwa,2,001000,franka,11.39,25.41
xemb1iiwa,2,001000,franka,-5.94,5.36
xemb1iiwa,2,001000,franka,-5.95,5.33
xemb1iiwa,2,001000,franka,-4.09,9.85
xemb1iiwa,2,001000,franka,-4.58,10.04
xemb1iiwa,2,001000,franka,-3.98,9.35
xemb1iiwa,2,001000,franka,7.75,-8.56
xemb1iiwa,2,001000,franka,-4.07,9.28
xemb1iiwa,2,001000,franka,12.12,25.36
xemb1iiwa,2,001000,franka,2.55,22.91
xemb1iiwa,2,001000,franka,11.38,25.53
xemb1iiwa,2,001000,franka,-4.39,9.86
xemb1iiwa,2,001000,franka,-4.24,9.6
